Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second,5,2,8.5,Right-handed,Left leg in first,On your stomach,Cat,0
First,8,12,10,Both,Right leg in first,On your stomach,Cat,0
Not an undergrad,2,2,7,Right-handed,Right leg in first,On your stomach,Cat,0
Fourth,5,3,7,Right-handed,Right leg in first,On your stomach,Cat,0
Second,1,4,8,Right-handed,Left leg in first,On your back,Cat,0
Second,7,3,9,Right-handed,Right leg in first,On your right side,Cat,0
Third,5,15,8,Right-handed,I don't know,On your back,"Cat, Dog",0
First,5,12,10,Right-handed,Left leg in first,On your back,"Cat, Dog",0
First,3,4,7.5,Right-handed,Right leg in first,On your back,"Cat, Dog",0
First,7,7,6,Right-handed,I don't know,On your left side,"Cat, Dog",0
Second,8,5,7,Right-handed,I don't know,On your left side,"Cat, Dog",0
First,5,5,7,Right-handed,Left leg in first,On your left side,"Cat, Dog",0
First,4,10,7,Right-handed,Left leg in first,On your left side,"Cat, Dog",0
First,8,8,7,Left-handed,Right leg in first,On your left side,"Cat, Dog",0
First,6,2,8,Left-handed,Right leg in first,On your left side,"Cat, Dog",0
Second,8,5,5,Right-handed,Right leg in first,On your left side,"Cat, Dog",0
Fourth,7,2,6,Right-handed,I don't know,On your right side,"Cat, Dog",0
Fourth,2,2,7,Right-handed,I don't know,On your right side,"Cat, Dog",0
Fourth,5,2,6,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
Third,7,5,8,Right-handed,Left leg in first,On your right side,"Cat, Dog",0
Third,1,1,5,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Second,8,6,6.5,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
First,3,2,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Second,7,12,7,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Fourth,3,2,8,Right-handed,Right leg in first,On your right side,"Cat, Dog",0
Third,7,6,7,Left-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second,5,3,9,Left-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second,8,3,6,Right-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second,7,3,8,Right-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second,4,15,8,Right-handed,Left leg in first,On your stomach,"Cat, Dog",0
Second,2,2,6,Right-handed,Right leg in first,On your stomach,"Cat, Dog",0
First,8,14,6,Right-handed,Right leg in first,On your stomach,"Cat, Dog",0
Third,1,1,8,Right-handed,I don't know,On your back,"Cat, Dog",0
First,3,8,7.5,Right-handed,Right leg in first,On your back,"Cat, Dog",0
Fourth,3,15,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Fish",0
Second,8,15,9,Right-handed,Left leg in first,On your left side,"Cat, Dog, Fish, Lizard",0
First,3,4,7,Right-handed,Left leg in first,On your left side,"Cat, Dog, Fish, Turtle",0
Second,4,3,7,Right-handed,Left leg in first,On your right side,"Cat, Dog, Fish, Turtle, Rabbit, Bird",0
Second,4,5,10,Right-handed,Left leg in first,On your stomach,"Cat, Dog, Hamster or Guinea Pig",0
Second,4,3,7,Right-handed,Right leg in first,On your left side,"Cat, Dog, Turtle",0
First,6,3,7,Right-handed,Left leg in first,On your stomach,"Cat, Dog, Turtle",0
Fourth,7,5,6,Right-handed,Left leg in first,On your back,"Cat, Fish",0
Second,8,7,7,Right-handed,Left leg in first,On your left side,"Cat, Fish",0
First,3,2,6,Right-handed,Right leg in first,On your left side,"Cat, Fish",0
Second,7,9,7,Right-handed,Right leg in first,On your right side,"Cat, Fish",0
Second,5,5,8,Right-handed,Right leg in first,On your right side,"Cat, Fish, Bird",0
Second,5,6,8,Left-handed,Right leg in first,On your left side,"Cat, Fish, Turtle, Chickens",0
First,3,1,7,Right-handed,Left leg in first,On your back,"Cat, Fish, Turtle, Rabbit",0
Third,5,4,6,Right-handed,Left leg in first,On your back,"Cat, Turtle",0
Second,7,5,6,Right-handed,Left leg in first,On your stomach,"Cat, Turtle",0
Second,3,3,8,Right-handed,Left leg in first,On your right side,"Cat, Turtle, Chinchilla",0
Second,5,5,7,Right-handed,I don't know,On your back,Dog,0
Second,5,5,7,Right-handed,I don't know,On your back,Dog,0
First,6,5,7,Right-handed,I don't know,On your back,Dog,0
Second,7,5,7,Right-handed,I don't know,On your back,Dog,0
First,4,8,7,Right-handed,I don't know,On your back,Dog,0
First,7,10,7,Right-handed,I don't know,On your back,Dog,0
Second,8,21,7,Right-handed,I don't know,On your back,Dog,0
Fifth or above,5,7,7.5,Right-handed,I don't know,On your back,Dog,0
First,3,3,8,Right-handed,I don't know,On your back,Dog,0
First,6,4,8,Right-handed,I don't know,On your back,Dog,0
Second,3,5,8,Right-handed,I don't know,On your back,Dog,0
Second,3,10,8,Right-handed,I don't know,On your back,Dog,0
First,5,1,10,Right-handed,I don't know,On your back,Dog,0
First,5,4,5,Both,Left leg in first,On your back,Dog,0
Second,4,3,7,Left-handed,Left leg in first,On your back,Dog,0
Second,7,6,6,Right-handed,Left leg in first,On your back,Dog,0
Second,8,6,6,Right-handed,Left leg in first,On your back,Dog,0
First,3,2,7,Right-handed,Left leg in first,On your back,Dog,0
First,10,3,7,Right-handed,Left leg in first,On your back,Dog,0
Third,7,5,7,Right-handed,Left leg in first,On your back,Dog,0
First,5,6,7,Right-handed,Left leg in first,On your back,Dog,0
First,5,7,7,Right-handed,Left leg in first,On your back,Dog,0
Second,6,6,7.5,Right-handed,Left leg in first,On your back,Dog,0
First,4,2,8,Right-handed,Left leg in first,On your back,Dog,0
First,3,5,8,Right-handed,Left leg in first,On your back,Dog,0
Second,8,8,8,Right-handed,Left leg in first,On your back,Dog,0
Second,6,6,9,Right-handed,Left leg in first,On your back,Dog,0
Second,6,3,4,Right-handed,Right leg in first,On your back,Dog,0
Second,6,15,5,Right-handed,Right leg in first,On your back,Dog,0
Second,7,3,6,Right-handed,Right leg in first,On your back,Dog,0
Second,3,2,7,Right-handed,Right leg in first,On your back,Dog,0
First,5,3,7,Right-handed,Right leg in first,On your back,Dog,0
First,5,4,7,Right-handed,Right leg in first,On your back,Dog,0
Second,5,4,7,Right-handed,Right leg in first,On your back,Dog,0
First,8,8,7,Right-handed,Right leg in first,On your back,Dog,0
Second,5,15,7,Right-handed,Right leg in first,On your back,Dog,0
Second,4,8,7.5,Right-handed,Right leg in first,On your back,Dog,0
Second,3,3,8,Right-handed,Right leg in first,On your back,Dog,0
Second,4,4,8,Right-handed,Right leg in first,On your back,Dog,0
First,8,20,8,Right-handed,Right leg in first,On your back,Dog,0
Second,4,3,9,Right-handed,Right leg in first,On your back,Dog,0
First,6,5,8,Left-handed,I don't know,On your left side,Dog,0
First,3,4,7,Right-handed,I don't know,On your left side,Dog,0
First,7,10,7,Right-handed,I don't know,On your left side,Dog,0
Second,7,10,7,Right-handed,I don't know,On your left side,Dog,0
First,7,30,9,Right-handed,I don't know,On your left side,Dog,0
Second,7,3,6,Left-handed,Left leg in first,On your left side,Dog,0
Third,5,3,6,Right-handed,Left leg in first,On your left side,Dog,0
Fifth or above,7,3,6,Right-handed,Left leg in first,On your left side,Dog,0
Third,8,4,6,Right-handed,Left leg in first,On your left side,Dog,0
Fifth or above,6,5,6,Right-handed,Left leg in first,On your left side,Dog,0
Second,8,10,6,Right-handed,Left leg in first,On your left side,Dog,0
First,4,2,7,Right-handed,Left leg in first,On your left side,Dog,0
Third,7,4,7,Right-handed,Left leg in first,On your left side,Dog,0
First,6,6,7,Right-handed,Left leg in first,On your left side,Dog,0
Second,8,3,7.5,Right-handed,Left leg in first,On your left side,Dog,0
Second,3,2,8,Right-handed,Left leg in first,On your left side,Dog,0
First,5,3,8,Right-handed,Left leg in first,On your left side,Dog,0
Second,6,4,8,Left-handed,Right leg in first,On your left side,Dog,0
Third,5,2,6,Right-handed,Right leg in first,On your left side,Dog,0
Second,8,2,6,Right-handed,Right leg in first,On your left side,Dog,0
First,6,5,6,Right-handed,Right leg in first,On your left side,Dog,0
Second,8,5,6,Right-handed,Right leg in first,On your left side,Dog,0
Third,7,2,7,Right-handed,Right leg in first,On your left side,Dog,0
Fourth,5,3,7,Right-handed,Right leg in first,On your left side,Dog,0
First,5,4,7,Right-handed,Right leg in first,On your left side,Dog,0
First,7,6,7,Right-handed,Right leg in first,On your left side,Dog,0
Second,7,15,7,Right-handed,Right leg in first,On your left side,Dog,0
First,5,23,7.5,Right-handed,Right leg in first,On your left side,Dog,0
Third,1,3,8,Right-handed,Right leg in first,On your left side,Dog,0
First,4,3,8,Right-handed,Right leg in first,On your left side,Dog,0
Second,8,5,8,Right-handed,Right leg in first,On your left side,Dog,0
First,9,5,8,Right-handed,Right leg in first,On your left side,Dog,0
First,4,8,8,Right-handed,Right leg in first,On your left side,Dog,0
Third,8,10,8,Right-handed,Right leg in first,On your left side,Dog,0
First,3,4,8.5,Right-handed,Right leg in first,On your left side,Dog,0
First,6,1,7,Right-handed,I don't know,On your right side,Dog,0
Third,4,4,7,Right-handed,I don't know,On your right side,Dog,0
Third,1,5,7,Right-handed,I don't know,On your right side,Dog,0
First,5,3,9,Right-handed,I don't know,On your right side,Dog,0
Third,8,5,7.5,Both,Left leg in first,On your right side,Dog,0
First,7,8,6,Left-handed,Left leg in first,On your right side,Dog,0
First,7,5,7,Left-handed,Left leg in first,On your right side,Dog,0
Second,7,10,8,Left-handed,Left leg in first,On your right side,Dog,0
Second,8,15,5,Right-handed,Left leg in first,On your right side,Dog,0
First,5,1,6,Right-handed,Left leg in first,On your right side,Dog,0
Second,7,3,6,Right-handed,Left leg in first,On your right side,Dog,0
First,5,5,6,Right-handed,Left leg in first,On your right side,Dog,0
First,6,8,6,Right-handed,Left leg in first,On your right side,Dog,0
Third,6,15,6,Right-handed,Left leg in first,On your right side,Dog,0
First,7,2,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,8,2,7,Right-handed,Left leg in first,On your right side,Dog,0
Fourth,2,3,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,4,4,7,Right-handed,Left leg in first,On your right side,Dog,0
Fourth,7,5,7,Right-handed,Left leg in first,On your right side,Dog,0
First,8,5,7,Right-handed,Left leg in first,On your right side,Dog,0
First,8,15,7,Right-handed,Left leg in first,On your right side,Dog,0
First,5,20,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,1,0,8,Right-handed,Left leg in first,On your right side,Dog,0
First,7,4,8,Right-handed,Left leg in first,On your right side,Dog,0
First,2,5,8,Right-handed,Left leg in first,On your right side,Dog,0
First,7,10,8,Right-handed,Left leg in first,On your right side,Dog,0
Second,10,10,8,Right-handed,Left leg in first,On your right side,Dog,0
Second,3,5,9,Right-handed,Left leg in first,On your right side,Dog,0
First,5,4,7,Left-handed,Right leg in first,On your right side,Dog,0
Third,7,5,7,Left-handed,Right leg in first,On your right side,Dog,0
First,6,10,8,Left-handed,Right leg in first,On your right side,Dog,0
First,4,2,6,Right-handed,Right leg in first,On your right side,Dog,0
Third,6,3,6,Right-handed,Right leg in first,On your right side,Dog,0
First,4,6,6,Right-handed,Right leg in first,On your right side,Dog,0
First,8,10,6,Right-handed,Right leg in first,On your right side,Dog,0
First,8,12,6,Right-handed,Right leg in first,On your right side,Dog,0
First,10,50,6,Right-handed,Right leg in first,On your right side,Dog,0
Third,4,3,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,3,7,Right-handed,Right leg in first,On your right side,Dog,0
Second,6,5,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,5,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,7,7,Right-handed,Right leg in first,On your right side,Dog,0
Fourth,4,10,7,Right-handed,Right leg in first,On your right side,Dog,0
First,6,16,7,Right-handed,Right leg in first,On your right side,Dog,0
First,5,2,8,Right-handed,Right leg in first,On your right side,Dog,0
Second,7,3,8,Right-handed,Right leg in first,On your right side,Dog,0
First,4,5,8,Right-handed,Right leg in first,On your right side,Dog,0
First,7,10,8,Right-handed,Right leg in first,On your right side,Dog,0
First,10,15,8,Right-handed,Right leg in first,On your right side,Dog,0
First,9,30,8,Right-handed,Right leg in first,On your right side,Dog,0
Fifth or above,3,6,9,Right-handed,Right leg in first,On your right side,Dog,0
First,5,5,7,Right-handed,I don't know,On your stomach,Dog,0
First,5,7,9,Right-handed,I don't know,On your stomach,Dog,0
First,9,8,7,Both,Left leg in first,On your stomach,Dog,0
Third,5,4,8,Left-handed,Left leg in first,On your stomach,Dog,0
First,6,20,9,Left-handed,Left leg in first,On your stomach,Dog,0
Second,4,3,7,Right-handed,Left leg in first,On your stomach,Dog,0
First,8,4,7,Right-handed,Left leg in first,On your stomach,Dog,0
Third,4,10,7,Right-handed,Left leg in first,On your stomach,Dog,0
Third,7,5,8,Right-handed,Left leg in first,On your stomach,Dog,0
First,4,10,8,Right-handed,Left leg in first,On your stomach,Dog,0
Second,8,3,9,Right-handed,Left leg in first,On your stomach,Dog,0
Third,6,4,8.5,Left-handed,Right leg in first,On your stomach,Dog,0
First,7,3,5,Right-handed,Right leg in first,On your stomach,Dog,0
Second,7,3,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second,4,8,7,Right-handed,Right leg in first,On your stomach,Dog,0
First,8,9,7,Right-handed,Right leg in first,On your stomach,Dog,0
First,4,10,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second,9,19,8,Right-handed,Right leg in first,On your stomach,Dog,0
Second,6,10,10,Right-handed,Right leg in first,On your stomach,Dog,0
Second,5,5,7,Right-handed,Right leg in first,On your back,Dog,0
Third,4,4,7,Left-handed,Left leg in first,On your left side,Dog,0
Third,5,2,6,Right-handed,Left leg in first,On your left side,Dog,0
Third,3,10,6,Right-handed,Left leg in first,On your left side,Dog,0
Second,5,5,7,Right-handed,Left leg in first,On your left side,Dog,0
Third,5,7,7,Right-handed,Left leg in first,On your right side,Dog,0
Second,5,10,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,5,3,8,Right-handed,Right leg in first,On your right side,Dog,0
First,9,10,6,Right-handed,I don't know,On your stomach,Dog,0
Second,7,25,8,Right-handed,Left leg in first,On your stomach,Dog,0
First,2,2,6,Right-handed,Right leg in first,On your stomach,Dog,0
First,8,3,7,Right-handed,Left leg in first,On your back,"Dog, Bird",0
First,6,2,7,Right-handed,Right leg in first,On your back,"Dog, Bird",0
Second,3,3,9,Left-handed,Right leg in first,On your right side,"Dog, Bird",0
Second,5,5,8,Right-handed,Left leg in first,On your stomach,"Dog, Bird",0
First,4,10,6,Right-handed,Right leg in first,On your right side,"Dog, Chickens",0
Second,5,4,6,Right-handed,I don't know,On your back,"Dog, Fish",0
Third,4,5,8,Left-handed,Left leg in first,On your back,"Dog, Fish",0
Third,8,10,7,Right-handed,Right leg in first,On your back,"Dog, Fish",0
Second,4,10,8,Right-handed,Right leg in first,On your back,"Dog, Fish",0
Second,3,4,6,Right-handed,I don't know,On your left side,"Dog, Fish",0
Third,7,15,6,Left-handed,Left leg in first,On your right side,"Dog, Fish",0
First,7,10,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
First,6,2,8,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
Second,4,4,7,Right-handed,Right leg in first,On your stomach,"Dog, Fish",0
Third,5,5,6,Right-handed,Right leg in first,On your left side,"Dog, Fish, Bird",0
Fourth,8,10,6,Right-handed,I don't know,On your left side,"Dog, Fish, Bird, Lizard, Tarantula",0
Second,10,20,8,Right-handed,Right leg in first,On your back,"Dog, Fish, Duck",0
First,4,1,8,Right-handed,Left leg in first,On your right side,"Dog, Fish, Turtle, Bird",0
Third,4,5,8,Right-handed,I don't know,On your left side,"Dog, Hamster or Guinea Pig",0
Third,3,6,7,Right-handed,Left leg in first,On your stomach,"Dog, Hamster or Guinea Pig",0
Second,5,2,7,Right-handed,Right leg in first,On your back,"Dog, Lizard",0
Third,4,0,6,Right-handed,I don't know,On your left side,"Dog, None",0
Third,5,10,8,Right-handed,Right leg in first,On your back,"Dog, Turtle",0
First,8,3,5,Right-handed,Right leg in first,On your right side,"Dog, Turtle",0
First,7,6,7.5,Right-handed,Right leg in first,On your back,Fish,0
First,7,10,6,Both,I don't know,On your left side,Fish,0
Second,8,8,8,Left-handed,Left leg in first,On your left side,Fish,0
Second,8,15,8,Right-handed,Left leg in first,On your left side,Fish,0
First,3,4,8,Left-handed,Right leg in first,On your left side,Fish,0
Third,4,2,6,Right-handed,Right leg in first,On your left side,Fish,0
First,7,10,9,Right-handed,Left leg in first,On your right side,Fish,0
First,10,50,5,Left-handed,Right leg in first,On your right side,Fish,0
First,8,1,8,Right-handed,Right leg in first,On your right side,Fish,0
Second,3,4,8,Right-handed,I don't know,On your stomach,Fish,0
First,7,2,6,Right-handed,Right leg in first,On your stomach,Fish,0
Second,7,7,6,Right-handed,Left leg in first,On your right side,"Fish, Turtle",0
First,6,4,6,Right-handed,Left leg in first,On your back,"Fish, Turtle, Freshwater Stingray",0
Fourth,5,3,8,Right-handed,Left leg in first,On your back,Hamster or Guinea Pig,0
Third,7,4,6.5,Right-handed,Right leg in first,On your back,Hamster or Guinea Pig,0
Fourth,4,2,7,Left-handed,Left leg in first,On your left side,Hamster or Guinea Pig,0
Second,6,4,7,Right-handed,Left leg in first,On your left side,Hamster or Guinea Pig,0
Second,6,6,5,Left-handed,Right leg in first,On your right side,Hamster or Guinea Pig,0
Third,5,5,7,Right-handed,Right leg in first,On your back,i have a pet rock,0
Third,8,4,6,Right-handed,Left leg in first,On your back,Lizard,0
Third,7,2,5,Right-handed,Left leg in first,On your right side,myeslf,0
Second,2,7,8,Right-handed,Right leg in first,On your back,None,0
Second,7,9,5,Right-handed,I don't know,On your back,Only in minecraft,0
Second,3,4,6,Right-handed,I don't know,On your back,None,0
First,4,5,6,Right-handed,I don't know,On your back,None,0
First,8,5,6,Right-handed,I don't know,On your back,None,0
Second,8,7,6,Right-handed,I don't know,On your back,None,0
First,5,2,7,Right-handed,I don't know,On your back,None,0
Third,5,2,7,Right-handed,I don't know,On your back,None,0
Third,4,3,7,Right-handed,I don't know,On your back,None,0
Fourth,7,3,7,Right-handed,I don't know,On your back,None,0
First,7,5,7,Right-handed,I don't know,On your back,None,0
Second,4,7,7,Right-handed,I don't know,On your back,None,0
First,5,7,7,Right-handed,I don't know,On your back,None,0
Second,7,7,7,Right-handed,I don't know,On your back,None,0
First,4,8,7,Right-handed,I don't know,On your back,None,0
Third,8,6,7.5,Right-handed,I don't know,On your back,None,0
First,4,3,8,Right-handed,I don't know,On your back,None,0
First,5,5,8,Right-handed,I don't know,On your back,None,0
First,6,6,8,Right-handed,I don't know,On your back,None,0
First,9,10,8,Right-handed,I don't know,On your back,None,0
Second,5,25,8,Right-handed,I don't know,On your back,None,0
Second,3,2,9,Right-handed,I don't know,On your back,None,0
Second,1,1,12,Right-handed,I don't know,On your back,None,0
Second,4,6,5,Right-handed,Left leg in first,On your back,None,0
First,5,2,6,Right-handed,Left leg in first,On your back,None,0
First,6,3,6,Right-handed,Left leg in first,On your back,None,0
First,8,5,6,Right-handed,Left leg in first,On your back,None,0
Second,5,6,6,Right-handed,Left leg in first,On your back,None,0
Second,8,10,6,Right-handed,Left leg in first,On your back,None,0
Fifth or above,3,1,6.5,Right-handed,Left leg in first,On your back,None,0
First,3,2,6.5,Right-handed,Left leg in first,On your back,None,0
First,4,3,7,Right-handed,Left leg in first,On your back,None,0
First,5,3,7,Right-handed,Left leg in first,On your back,None,0
First,8,3,7,Right-handed,Left leg in first,On your back,None,0
Second,5,4,7,Right-handed,Left leg in first,On your back,None,0
First,4,5,7,Right-handed,Left leg in first,On your back,None,0
Third,3,6,7,Right-handed,Left leg in first,On your back,None,0
First,7,6,7,Right-handed,Left leg in first,On your back,None,0
First,8,20,7,Right-handed,Left leg in first,On your back,None,0
First,7,6,7.5,Right-handed,Left leg in first,On your back,None,0
Third,4,1,8,Right-handed,Left leg in first,On your back,None,0
First,2,2,8,Right-handed,Left leg in first,On your back,None,0
First,9,3,8,Right-handed,Left leg in first,On your back,None,0
Fourth,8,4,8,Right-handed,Left leg in first,On your back,None,0
Second,9,25,8.5,Right-handed,Left leg in first,On your back,None,0
First,5,5,9,Right-handed,Left leg in first,On your back,None,0
First,3,2,7,Left-handed,Right leg in first,On your back,None,0
Fourth,4,3,4,Right-handed,Right leg in first,On your back,None,0
Second,10,5,5,Right-handed,Right leg in first,On your back,None,0
Third,1,0,6,Right-handed,Right leg in first,On your back,None,0
First,3,2,6,Right-handed,Right leg in first,On your back,None,0
First,5,15,6,Right-handed,Right leg in first,On your back,None,0
Junior Transfer,4,1,6.5,Right-handed,Right leg in first,On your back,None,0
Second,5,1,7,Right-handed,Right leg in first,On your back,None,0
First,6,1,7,Right-handed,Right leg in first,On your back,None,0
Second,6,1,7,Right-handed,Right leg in first,On your back,None,0
Second,3,2,7,Right-handed,Right leg in first,On your back,None,0
Not an undergrad,8,2,7,Right-handed,Right leg in first,On your back,None,0
Third,8,2,7,Right-handed,Right leg in first,On your back,None,0
Second,3,3,7,Right-handed,Right leg in first,On your back,None,0
Third,3,3,7,Right-handed,Right leg in first,On your back,None,0
Third,3,3,7,Right-handed,Right leg in first,On your back,None,0
Second,7,3,7,Right-handed,Right leg in first,On your back,None,0
Second,4,4,7,Right-handed,Right leg in first,On your back,None,0
Third,3,5,7,Right-handed,Right leg in first,On your back,None,0
First,4,5,7,Right-handed,Right leg in first,On your back,None,0
First,5,5,7,Right-handed,Right leg in first,On your back,None,0
First,6,5,7,Right-handed,Right leg in first,On your back,None,0
First,7,5,7,Right-handed,Right leg in first,On your back,None,0
Second,5,8,7,Right-handed,Right leg in first,On your back,None,0
Third,6,10,7,Right-handed,Right leg in first,On your back,None,0
Third,4,15,7,Right-handed,Right leg in first,On your back,None,0
Second,3,3,8,Right-handed,Right leg in first,On your back,None,0
First,4,4,8,Right-handed,Right leg in first,On your back,None,0
First,8,4,8,Right-handed,Right leg in first,On your back,None,0
First,3,5,8,Right-handed,Right leg in first,On your back,None,0
First,4,5,8,Right-handed,Right leg in first,On your back,None,0
Second,8,5,8,Right-handed,Right leg in first,On your back,None,0
First,8,10,8,Right-handed,Right leg in first,On your back,None,0
Fourth,1,0,9,Right-handed,Right leg in first,On your back,None,0
Second,8,4,9,Right-handed,Right leg in first,On your back,None,0
Second,4,0,7,Left-handed,I don't know,On your left side,None,0
Third,5,1,5,Right-handed,I don't know,On your left side,None,0
First,9,10,6,Right-handed,I don't know,On your left side,None,0
Third,3,2,7,Right-handed,I don't know,On your left side,None,0
Second,6,2,7,Right-handed,I don't know,On your left side,None,0
Third,4,3,7,Right-handed,I don't know,On your left side,None,0
Second,4,4,7,Right-handed,I don't know,On your left side,None,0
First,7,5,7,Right-handed,I don't know,On your left side,None,0
Second,8,5,7,Right-handed,I don't know,On your left side,None,0
First,8,10,7,Right-handed,I don't know,On your left side,None,0
Third,4,3,8,Right-handed,I don't know,On your left side,None,0
Third,6,5,8,Right-handed,I don't know,On your left side,None,0
First,7,10,8,Right-handed,I don't know,On your left side,None,0
First,6,3,9,Right-handed,I don't know,On your left side,None,0
Second,6,4,9,Right-handed,I don't know,On your left side,None,0
Third,4,4,8,Left-handed,Left leg in first,On your left side,None,0
Fourth,5,4,6,Right-handed,Left leg in first,On your left side,None,0
First,3,5,6,Right-handed,Left leg in first,On your left side,None,0
Third,4,5,6,Right-handed,Left leg in first,On your left side,None,0
First,6,10,6,Right-handed,Left leg in first,On your left side,None,0
First,4,1,7,Right-handed,Left leg in first,On your left side,None,0
