family,father,mother,child,children,order,sex
69,70.0,65.0,63.0,8,7,female
69,70.0,65.0,62.0,8,8,female
70,70.0,65.0,67.0,5,1,male
70,70.0,65.0,65.0,5,2,male
70,70.0,65.0,64.5,5,3,female
70,70.0,65.0,62.5,5,4,female
70,70.0,65.0,62.5,5,5,female
71,70.0,65.0,70.0,6,1,male
71,70.0,65.0,70.0,6,2,male
71,70.0,65.0,67.0,6,3,female
71,70.0,65.0,65.0,6,4,female
71,70.0,65.0,65.0,6,5,female
71,70.0,65.0,63.0,6,6,female
72,70.0,65.0,79.0,7,1,male
72,70.0,65.0,75.0,7,2,male
72,70.0,65.0,71.0,7,3,male
72,70.0,65.0,69.0,7,4,female
72,70.0,65.0,67.0,7,5,female
72,70.0,65.0,65.7,7,6,female
72,70.0,65.0,62.0,7,7,female
73,70.0,65.0,73.0,3,1,male
73,70.0,65.0,72.5,3,2,male
73,70.0,65.0,65.0,3,3,female
74,70.0,65.0,69.0,2,1,male
74,70.0,65.0,69.0,2,2,male
75,70.0,64.7,72.0,7,1,male
75,70.0,64.7,70.0,7,2,male
75,70.0,64.7,68.7,7,3,male
75,70.0,64.7,66.5,7,4,female
75,70.0,64.7,65.5,7,5,female
75,70.0,64.7,64.7,7,6,female
75,70.0,64.7,64.5,7,7,female
76,70.0,64.0,70.7,7,1,male
76,70.0,64.0,70.0,7,2,male
76,70.0,64.0,68.0,7,3,male
76,70.0,64.0,67.0,7,4,male
76,70.0,64.0,66.0,7,5,male
76,70.0,64.0,65.0,7,6,male
76,70.0,64.0,67.0,7,7,female
77,70.0,64.0,70.0,4,1,male
77,70.0,64.0,68.0,4,2,male
77,70.0,64.0,66.7,4,3,male
77,70.0,64.0,65.5,4,4,female
78,70.0,64.2,72.0,5,1,male
78,70.0,64.2,70.0,5,2,male
78,70.0,64.2,62.5,5,3,female
78,70.0,64.2,61.2,5,4,female
78,70.0,64.2,60.1,5,5,female
79,70.5,64.0,74.0,8,1,male
79,70.5,64.0,69.5,8,2,male
79,70.5,64.0,69.0,8,3,male
79,70.5,64.0,68.0,8,4,male
79,70.5,64.0,68.0,8,5,male
79,70.5,64.0,68.0,8,6,male
79,70.5,64.0,65.5,8,7,female
79,70.5,64.0,65.0,8,8,female
80,70.5,64.5,60.0,1,1,female
81,70.0,64.0,68.0,4,1,male
81,70.0,64.0,65.0,4,2,female
81,70.0,64.0,64.0,4,3,female
81,70.0,64.0,62.0,4,4,female
82,70.0,64.0,71.0,9,1,male
82,70.0,64.0,70.0,9,2,male
82,70.0,64.0,70.0,9,3,male
82,70.0,64.0,70.0,9,4,male
82,70.0,64.0,69.5,9,5,male
82,70.0,64.0,68.5,9,6,male
82,70.0,64.0,69.0,9,7,female
82,70.0,64.0,65.0,9,8,female
82,70.0,64.0,64.0,9,9,female
83,70.0,63.7,70.0,8,1,male
83,70.0,63.7,67.0,8,2,male
83,70.0,63.7,65.5,8,3,male
83,70.0,63.7,63.7,8,4,female
83,70.0,63.7,63.2,8,5,female
83,70.0,63.7,62.5,8,6,female
83,70.0,63.7,62.2,8,7,female
83,70.0,63.7,61.0,8,8,female
84,70.5,63.0,70.0,4,1,male
84,70.5,63.0,68.5,4,2,male
84,70.5,63.0,65.5,4,3,female
84,70.5,63.0,63.5,4,4,female
85,70.5,63.0,72.5,5,1,male
85,70.5,63.0,69.0,5,2,male
85,70.5,63.0,67.0,5,3,male
85,70.5,63.0,64.5,5,4,female
85,70.5,63.0,64.0,5,5,female
86,70.0,63.5,71.0,4,1,male
86,70.0,63.5,67.5,4,2,male
86,70.0,63.5,67.5,4,3,female
86,70.0,63.5,63.5,4,4,female
87,70.0,63.0,68.0,4,1,male
87,70.0,63.0,67.0,4,2,male
87,70.0,63.0,63.7,4,3,female
87,70.0,63.0,62.0,4,4,female
88,70.0,63.0,70.0,4,1,male
88,70.0,63.0,66.5,4,2,male
88,70.0,63.0,62.0,4,3,female
88,70.0,63.0,61.0,4,4,female
89,70.5,62.0,72.0,8,1,male
89,70.5,62.0,70.0,8,2,male
89,70.5,62.0,69.5,8,3,male
89,70.5,62.0,69.5,8,4,male
89,70.5,62.0,68.0,8,5,male
89,70.5,62.0,65.0,8,6,female
89,70.5,62.0,64.0,8,7,female
89,70.5,62.0,63.0,8,8,female
90,70.3,62.7,70.7,7,1,male
90,70.3,62.7,69.7,7,2,male
90,70.3,62.7,69.2,7,3,male
90,70.3,62.7,65.2,7,4,male
90,70.3,62.7,64.0,7,5,female
90,70.3,62.7,63.5,7,6,female
90,70.3,62.7,63.2,7,7,female
91,70.5,62.0,72.0,3,1,male
91,70.5,62.0,72.0,3,2,male
91,70.5,62.0,60.0,3,3,female
92,70.0,61.0,71.2,2,1,male
92,70.0,61.0,67.0,2,2,male
93,70.0,60.0,67.0,4,1,male
93,70.0,60.0,64.5,4,2,male
93,70.0,60.0,65.0,4,3,female
93,70.0,60.0,63.0,4,4,female
94,70.0,60.0,65.0,2,1,female
94,70.0,60.0,65.0,2,2,female
95,70.0,58.5,71.5,3,1,male
95,70.0,58.5,64.5,3,2,male
95,70.0,58.5,63.0,3,3,female
96,70.0,58.0,72.0,5,1,male
96,70.0,58.0,66.0,5,2,male
96,70.0,58.0,66.0,5,3,female
96,70.0,58.0,65.0,5,4,female
96,70.0,58.0,63.0,5,5,female
97,69.0,68.5,75.0,10,1,male
97,69.0,68.5,71.0,10,2,male
97,69.0,68.5,70.0,10,3,male
97,69.0,68.5,66.0,10,4,female
97,69.0,68.5,66.0,10,5,female
97,69.0,68.5,65.5,10,6,female
97,69.0,68.5,65.0,10,7,female
97,69.0,68.5,65.0,10,8,female
97,69.0,68.5,64.0,10,9,female
97,69.0,68.5,64.0,10,10,female
98,69.0,67.0,64.0,1,1,female
99,69.0,66.0,73.0,8,1,male
99,69.0,66.0,72.0,8,2,male
99,69.0,66.0,71.7,8,3,male
99,69.0,66.0,71.5,8,4,male
99,69.0,66.0,65.5,8,5,female
99,69.0,66.0,65.0,8,6,female
99,69.0,66.0,62.7,8,7,female
99,69.0,66.0,62.5,8,8,female
100,69.0,66.0,71.2,3,1,male
100,69.0,66.0,71.0,3,2,male
100,69.0,66.0,70.0,3,3,male
101,69.0,66.7,75.0,4,1,male
101,69.0,66.7,74.0,4,2,male
101,69.0,66.7,72.0,4,3,male
101,69.0,66.7,68.5,4,4,male
102,69.0,66.0,70.0,6,1,male
102,69.0,66.0,68.5,6,2,male
102,69.0,66.0,68.0,6,3,male
102,69.0,66.0,65.0,6,4,female
102,69.0,66.0,63.0,6,5,female
102,69.0,66.0,62.5,6,6,female
103,69.0,66.5,73.0,7,1,male
103,69.0,66.5,71.0,7,2,male
103,69.0,66.5,70.5,7,3,male
103,69.0,66.5,70.5,7,4,male
103,69.0,66.5,67.0,7,5,male
103,69.0,66.5,66.0,7,6,male
103,69.0,66.5,61.0,7,7,female
104,69.5,66.5,70.5,4,1,male
104,69.5,66.5,67.5,4,2,male
104,69.5,66.5,64.5,4,3,female
104,69.5,66.5,64.0,4,4,female
105,69.0,66.5,71.0,6,1,male
105,69.0,66.5,68.5,6,2,female
105,69.0,66.5,67.5,6,3,female
105,69.0,66.5,66.0,6,4,female
105,69.0,66.5,63.0,6,5,female
105,69.0,66.5,63.0,6,6,female
106,69.5,66.0,71.0,7,1,male
106,69.5,66.0,71.0,7,2,male
106,69.5,66.0,70.5,7,3,male
106,69.5,66.0,70.5,7,4,male
106,69.5,66.0,66.5,7,5,female
106,69.5,66.0,65.5,7,6,female
106,69.5,66.0,64.5,7,7,female
107,69.0,66.0,73.0,9,1,male
107,69.0,66.0,72.0,9,2,male
107,69.0,66.0,69.0,9,3,male
107,69.0,66.0,69.0,9,4,male
107,69.0,66.0,66.5,9,5,female
107,69.0,66.0,65.5,9,6,female
107,69.0,66.0,65.5,9,7,female
107,69.0,66.0,65.0,9,8,female
107,69.0,66.0,64.0,9,9,female
108,69.0,65.0,70.0,7,1,male
108,69.0,65.0,68.5,7,2,male
108,69.0,65.0,67.0,7,3,male
108,69.0,65.0,65.0,7,4,female
108,69.0,65.0,64.0,7,5,female
108,69.0,65.0,63.5,7,6,female
108,69.0,65.0,61.0,7,7,female
109,69.5,64.5,69.7,7,1,male
109,69.5,64.5,68.0,7,2,male
109,69.5,64.5,60.0,7,3,male
109,69.5,64.5,65.2,7,4,female
109,69.5,64.5,64.5,7,5,female
109,69.5,64.5,63.7,7,6,female
109,69.5,64.5,60.0,7,7,female
110,69.2,64.0,71.7,4,1,male
110,69.2,64.0,66.5,4,2,male
110,69.2,64.0,65.0,4,3,female
110,69.2,64.0,63.5,4,4,female
111,69.0,63.5,65.5,1,1,female
112,69.0,63.0,69.0,3,1,male
112,69.0,63.0,67.5,3,2,female
112,69.0,63.0,63.5,3,3,female
113,69.0,63.0,72.0,1,1,male
114,69.0,63.0,73.0,6,1,male
114,69.0,63.0,70.0,6,2,male
114,69.0,63.0,70.0,6,3,male
114,69.0,63.0,64.0,6,4,male
114,69.0,63.0,66.0,6,5,female
114,69.0,63.0,62.0,6,6,female
115,69.0,63.5,70.5,7,1,male
115,69.0,63.5,67.0,7,2,male
115,69.0,63.5,66.0,7,3,male
115,69.0,63.5,65.0,7,4,female
115,69.0,63.5,63.0,7,5,female
115,69.0,63.5,62.0,7,6,female
115,69.0,63.5,61.0,7,7,female
116,69.0,63.5,70.5,3,1,male
116,69.0,63.5,63.7,3,2,female
116,69.0,63.5,63.0,3,3,female
117,69.7,62.0,62.5,1,1,female
118,69.5,62.0,73.0,3,1,male
118,69.5,62.0,72.0,3,2,male
118,69.5,62.0,69.0,3,3,male
119,69.0,62.0,73.0,5,1,male
119,69.0,62.0,71.0,5,2,male
119,69.0,62.0,71.0,5,3,male
119,69.0,62.0,69.0,5,4,male
119,69.0,62.0,63.0,5,5,female
120,69.5,62.0,72.0,11,1,male
120,69.5,62.0,70.0,11,2,male
120,69.5,62.0,67.8,11,3,male
120,69.5,62.0,65.2,11,4,female
120,69.5,62.0,64.7,11,5,female
120,69.5,62.0,64.5,11,6,female
120,69.5,62.0,63.5,11,7,female
120,69.5,62.0,63.5,11,8,female
120,69.5,62.0,62.5,11,9,female
120,69.5,62.0,62.0,11,10,female
120,69.5,62.0,61.5,11,11,female
121,69.0,62.5,71.0,8,1,male
121,69.0,62.5,70.0,8,2,male
121,69.0,62.5,70.0,8,3,male
121,69.0,62.5,69.0,8,4,male
121,69.0,62.5,63.5,8,5,female
121,69.0,62.5,62.5,8,6,female
121,69.0,62.5,62.5,8,7,female
121,69.0,62.5,62.0,8,8,female
122,69.0,62.0,72.0,4,1,male
122,69.0,62.0,68.0,4,2,male
122,69.0,62.0,66.0,4,3,female
122,69.0,62.0,66.0,4,4,female
123,69.5,61.0,70.0,5,1,male
123,69.5,61.0,69.5,5,2,male
123,69.5,61.0,69.0,5,3,male
123,69.5,61.0,63.0,5,4,female
123,69.5,61.0,62.0,5,5,female
124,69.0,61.0,68.0,9,1,male
124,69.0,61.0,68.0,9,2,male
124,69.0,61.0,67.5,9,3,male
124,69.0,61.0,64.0,9,4,male
124,69.0,61.0,63.0,9,5,male
124,69.0,61.0,63.0,9,6,male
124,69.0,61.0,63.5,9,7,female
124,69.0,61.0,62.0,9,8,female
124,69.0,61.0,62.0,9,9,female
125,69.0,60.0,70.5,3,1,male
125,69.0,60.0,68.0,3,2,female
125,69.0,60.0,62.5,3,3,female
126,69.0,60.0,69.0,4,1,male
126,69.0,60.0,66.0,4,2,male
126,69.0,60.0,61.7,4,3,female
126,69.0,60.0,60.5,4,4,female
127,69.0,60.5,69.5,1,1,male
128,68.7,70.5,71.0,2,1,male
128,68.7,70.5,61.7,2,2,female
129,68.5,67.0,73.0,3,1,male
129,68.5,67.0,71.0,3,2,male
129,68.5,67.0,67.0,3,3,female
130,68.5,66.5,70.0,11,1,male
130,68.5,66.5,69.0,11,2,male
130,68.5,66.5,69.0,11,3,male
130,68.5,66.5,68.7,11,4,male
130,68.5,66.5,68.5,11,5,male
130,68.5,66.5,68.5,11,6,male
130,68.5,66.5,68.0,11,7,male
130,68.5,66.5,68.0,11,8,male
130,68.5,66.5,68.0,11,9,male
130,68.5,66.5,66.2,11,10,male
130,68.5,66.5,63.2,11,11,female
131,68.0,65.0,67.5,2,1,male
131,68.0,65.0,66.0,2,2,male
132,68.0,65.5,66.0,2,1,male
132,68.0,65.5,64.0,2,2,female
133,68.0,65.5,71.7,7,1,male
133,68.0,65.5,71.5,7,2,male
133,68.0,65.5,70.7,7,3,male
133,68.0,65.5,65.5,7,4,male
133,68.0,65.5,66.5,7,5,female
133,68.0,65.5,65.2,7,6,female
133,68.0,65.5,61.5,7,7,female
134,68.0,65.0,72.0,4,1,male
134,68.0,65.0,72.0,4,2,male
134,68.0,65.0,68.0,4,3,female
134,68.0,65.0,66.0,4,4,female
135,68.5,65.0,69.2,8,1,male
135,68.5,65.0,68.0,8,2,male
135,68.5,65.0,66.0,8,3,male
135,68.5,65.0,66.0,8,4,male
135,68.5,65.0,62.0,8,5,female
135,68.5,65.0,61.5,8,6,female
135,68.5,65.0,61.0,8,7,female
135,68.5,65.0,60.0,8,8,female
136A,68.5,65.0,72.0,8,1,male
136A,68.5,65.0,70.5,8,2,male
136A,68.5,65.0,68.7,8,3,male
136A,68.5,65.0,68.5,8,4,male
136A,68.5,65.0,67.7,8,5,male
136A,68.5,65.0,64.0,8,6,female
136A,68.5,65.0,63.5,8,7,female
136A,68.5,65.0,63.0,8,8,female
136,68.0,64.0,71.0,10,1,male
136,68.0,64.0,68.0,10,2,male
136,68.0,64.0,68.0,10,3,male
136,68.0,64.0,67.0,10,4,male
136,68.0,64.0,65.0,10,5,female
136,68.0,64.0,64.0,10,6,female
136,68.0,64.0,63.0,10,7,female
136,68.0,64.0,63.0,10,8,female
136,68.0,64.0,62.0,10,9,female
136,68.0,64.0,61.0,10,10,female
137,68.0,64.0,66.0,4,1,male
137,68.0,64.0,63.0,4,2,male
137,68.0,64.0,65.5,4,3,female
137,68.0,64.0,62.0,4,4,female
138,68.0,64.0,71.2,5,1,male
138,68.0,64.0,71.2,5,2,male
138,68.0,64.0,69.0,5,3,male
138,68.0,64.0,68.5,5,4,male
138,68.0,64.0,62.5,5,5,female
139,68.0,64.5,62.0,1,1,female
140,68.0,64.0,69.0,10,1,male
140,68.0,64.0,67.0,10,2,male
140,68.0,64.0,66.0,10,3,male
140,68.0,64.0,66.0,10,4,female
140,68.0,64.0,66.0,10,5,female
140,68.0,64.0,65.0,10,6,female
140,68.0,64.0,65.0,10,7,female
140,68.0,64.0,65.0,10,8,female
140,68.0,64.0,64.0,10,9,female
140,68.0,64.0,63.0,10,10,female
141,68.0,63.0,70.5,8,1,male
141,68.0,63.0,70.0,8,2,male
141,68.0,63.0,68.0,8,3,male
141,68.0,63.0,66.0,8,4,male
141,68.0,63.0,66.0,8,5,male
141,68.0,63.0,66.0,8,6,female
141,68.0,63.0,62.0,8,7,female
141,68.0,63.0,61.5,8,8,female
142,68.5,63.5,73.5,4,1,male
142,68.5,63.5,70.0,4,2,male
142,68.5,63.5,69.5,4,3,male
142,68.5,63.5,65.5,4,4,female
143,68.0,63.0,67.0,1,1,male
144,68.0,63.0,70.0,4,1,male
144,68.0,63.0,68.0,4,2,male
144,68.0,63.0,64.5,4,3,female
144,68.0,63.0,64.0,4,4,female
145,68.0,63.0,71.0,8,1,male
145,68.0,63.0,68.0,8,2,male
145,68.0,63.0,66.0,8,3,male
145,68.0,63.0,65.5,8,4,male
145,68.0,63.0,65.0,8,5,male
145,68.0,63.0,63.0,8,6,female
145,68.0,63.0,62.0,8,7,female
145,68.0,63.0,62.0,8,8,female
146,68.0,63.0,67.0,6,1,male
146,68.0,63.0,67.0,6,2,male
146,68.0,63.0,66.0,6,3,male
146,68.0,63.0,64.0,6,4,female
146,68.0,63.0,63.5,6,5,female
146,68.0,63.0,61.0,6,6,female
147,68.5,63.5,68.2,1,1,male
148,68.0,63.0,70.0,1,1,male
149,68.2,63.5,70.0,5,1,male
149,68.2,63.5,69.0,5,2,male
149,68.2,63.5,67.0,5,3,male
149,68.2,63.5,65.5,5,4,male
149,68.2,63.5,64.5,5,5,female
150,68.0,62.5,68.5,1,1,male
151,68.7,62.0,67.7,2,1,male
151,68.7,62.0,61.7,2,2,female
152,68.0,62.5,66.5,1,1,male
153,68.0,61.0,68.5,5,1,male
153,68.0,61.0,68.0,5,2,male
153,68.0,61.0,64.0,5,3,male
153,68.0,61.0,63.5,5,4,female
153,68.0,61.0,63.0,5,5,female
154,68.0,60.2,66.7,1,1,male
155,68.0,60.0,64.0,7,1,male
155,68.0,60.0,61.0,7,2,female
155,68.0,60.0,61.0,7,3,female
