rank,name,position,team,salary,season
65,Dale Davis,PF,Portland Trail Blazers,6175000,2001
66,Alan Henderson,PF,Atlanta Hawks,5909000,2001
67,P.J. Brown,PF,Charlotte Hornets,5764000,2001
68,Luc Longley,C,New York Knicks,5750000,2001
69,Marcus Camby,C,New York Knicks,5750000,2001
70,Jermaine O'Neal,C,Indiana Pacers,5700000,2001
71,Donyell Marshall,PF,Utah Jazz,5630000,2001
72,Bryant Stith,G,Boston Celtics,5620000,2001
73,Erick Dampier,C,Golden State Warriors,5611000,2001
74,Wesley Person,SF,Cleveland Cavaliers,5600000,2001
75,Anthony Mason,F,Miami Heat,5553000,2001
76,Ron Mercer,SG,Chicago Bulls,5515000,2001
77,Isaac Austin,C,Vancouver Grizzlies,5500000,2001
78,Antonio Davis,PF,Toronto Raptors,5500000,2001
79,Steve Nash,PG,Dallas Mavericks,5500000,2001
80,Derrick McKey,F,Indiana Pacers,5400000,2001
81,Kelvin Cato,C,Houston Rockets,5400000,2001
82,Jim McIlvaine,C,New Jersey Nets,5400000,2001
83,Sean Elliott,F,San Antonio Spurs,5333000,2001
84,Robert Horry,PF,Los Angeles Lakers,5300000,2001
85,Austin Croshere,PF,Indiana Pacers,5298000,2001
86,Greg Ostertag,C,Utah Jazz,5200000,2001
87,Jerry Stackhouse,SF,Detroit Pistons,5000000,2001
88,Charlie Ward,PG,New York Knicks,5000000,2001
89,Lorenzen Wright,PF,Atlanta Hawks,4950000,2001
90,Loy Vaught,F,Washington Wizards,4812000,2001
91,Mookie Blaylock,G,Golden State Warriors,4800000,2001
92,Chris Mills,SF,Golden State Warriors,4800000,2001
93,Chris Childs,G,Toronto Raptors,4680000,2001
94,Bryon Russell,SF,Utah Jazz,4570000,2001
95,Bo Outlaw,PF,Orlando Magic,4500000,2001
96,Walt Williams,F,Houston Rockets,4500000,2001
97,Tariq Abdul-Wahad,SF,Denver Nuggets,4500000,2001
98,Bob Sura,PG,Golden State Warriors,4386000,2001
99,Jason Caffey,F,Milwaukee Bucks,4375000,2001
100,Robert Pack,PG,Denver Nuggets,4320000,2001
101,Brent Barry,SG,Seattle SuperSonics,4320000,2001
102,Vitaly Potapenko,C,Boston Celtics,4286000,2001
103,Brevin Knight,PG,Cleveland Cavaliers,4250000,2001
104,Howard Eisley,PG,Dallas Mavericks,4250000,2001
105,Scott Williams,C,Milwaukee Bucks,4200000,2001
106,Brad Miller,C,Chicago Bulls,4000000,2001
107,Duane Causwell,C,Miami Heat,4000000,2001
108,Ben Wallace,PF,Detroit Pistons,4000000,2001
109,Dan Majerle,G,Miami Heat,4000000,2001
110,Corliss Williamson,PF,Toronto Raptors,3997000,2001
111,Cedric Ceballos,F,Miami Heat,3937000,2001
112,Jahidi White,C,Washington Wizards,3922000,2001
113,Cuttino Mobley,SG,Houston Rockets,3922000,2001
114,Scot Pollard,C,Sacramento Kings,3922000,2001
115,Rashard Lewis,PF,Seattle SuperSonics,3920000,2001
116,Eric Williams,PF,Boston Celtics,3892000,2001
117,Voshon Lenard,SG,Denver Nuggets,3780000,2001
118,Dana Barros,PG,Detroit Pistons,3700000,2001
119,Michael Olowokandi,C,Los Angeles Clippers,3697000,2001
120,Kurt Thomas,PF,New York Knicks,3680000,2001
121,Elton Brand,PF,Chicago Bulls,3629000,2001
122,Adonal Foyle,C,Golden State Warriors,3578000,2001
123,Mark Jackson,PG,Toronto Raptors,3565000,2001
124,Kenyon Martin,PF,New Jersey Nets,3536000,2001
125,Michael Stewart,PF,Toronto Raptors,3520000,2001
126,Derek Strong,F,Los Angeles Clippers,3510000,2001
127,Greg Anthony,G,Portland Trail Blazers,3500000,2001
128,Sam Cassell,PG,Milwaukee Bucks,3500000,2001
129,Rick Fox,SF,Los Angeles Lakers,3412000,2001
130,Adam Keefe,F,Golden State Warriors,3390000,2001
131,Lamond Murray,SF,Cleveland Cavaliers,3375000,2001
132,Eric Snow,PG,Philadelphia 76ers,3375000,2001
133,Ervin Johnson,C,Milwaukee Bucks,3310000,2001
134,Mike Bibby,PG,Vancouver Grizzlies,3308000,2001
135,Jud Buechler,G,Detroit Pistons,3259000,2001
136,Travis Best,PG,Indiana Pacers,3250000,2001
137,Steve Francis,PG,Houston Rockets,3246000,2001
138,Tony Battie,C,Boston Celtics,3200000,2001
139,Travis Knight,C,New York Knicks,3200000,2001
140,Stromile Swift,PF,Vancouver Grizzlies,3164000,2001
141,Doug Christie,SG,Sacramento Kings,3132000,2001
142,Darrel Armstrong,PG,Orlando Magic,3100000,2001
143,Tracy Murray,SF,Toronto Raptors,3060000,2001
144,Derek Fisher,PG,Los Angeles Lakers,3000000,2001
145,Eric Piatkowski,SG,Los Angeles Clippers,3000000,2001
146,Chucky Atkins,PG,Detroit Pistons,3000000,2001
147,Tyrone Nesby,F,Washington Wizards,2990000,2001
148,Raef LaFrentz,C,Denver Nuggets,2970000,2001
149,Baron Davis,PG,Charlotte Hornets,2916000,2001
150,Brent Price,G,Vancouver Grizzlies,2880000,2001
151,David Wesley,SG,Charlotte Hornets,2880000,2001
152,Dean Garrett,C,Minnesota Timberwolves,2880000,2001
153,Mikki Moore,C,Detroit Pistons,2848000,2001
154,Darius Miles,SF,Los Angeles Clippers,2841000,2001
155,Popeye Jones,PF,Washington Wizards,2815000,2001
156,Antonio Daniels,PG,San Antonio Spurs,2814000,2001
157,Walter McCarty,PF,Boston Celtics,2812000,2001
158,Jerome Williams,PF,Toronto Raptors,2750000,2001
159,Anthony Peeler,SG,Minnesota Timberwolves,2737000,2001
160,Jon Barry,SG,Sacramento Kings,2727000,2001
161,Cedric E. Henderson,F,Cleveland Cavaliers,2700000,2001
162,Kevin Willis,C,Toronto Raptors,2700000,2001
163,Lawrence Funderburke,PF,Sacramento Kings,2700000,2001
164,Antawn Jamison,PF,Golden State Warriors,2678000,2001
165,Lindsey Hunter,SG,Milwaukee Bucks,2650000,2001
166,Lamar Odom,PF,Los Angeles Clippers,2628000,2001
167,Malik Rose,PF,San Antonio Spurs,2570000,2001
168,Marcus Fizer,F,Chicago Bulls,2562000,2001
169,Dragan Tarlac,C,Chicago Bulls,2500000,2001
170,Vince Carter,G,Toronto Raptors,2425000,2001
171,Jonathan Bender,SF,Indiana Pacers,2380000,2001
172,Chris Whitney,PG,Washington Wizards,2370000,2001
173,Mike Miller,SG,Orlando Magic,2320000,2001
174,Othella Harrington,PF,Vancouver Grizzlies,2250000,2001
175,Derek Anderson,SG,San Antonio Spurs,2250000,2001
176,John Starks,G,Utah Jazz,2250000,2001
177,Will Perdue,C,Portland Trail Blazers,2250000,2001
178,Randy Brown,G,Boston Celtics,2250000,2001
179,Brian Shaw,G,Los Angeles Lakers,2250000,2001
180,A.C. Green,F,Miami Heat,2250000,2001
181,Bimbo Coles,PG,Cleveland Cavaliers,2250000,2001
182,Joe Smith,PF,Detroit Pistons,2250000,2001
183,Aaron Williams,C,New Jersey Nets,2250000,2001
184,Sam Perkins,C,Indiana Pacers,2250000,2001
185,Rod Strickland,PG,Washington Wizards,2250000,2001
186,Tony Delk,PG,Phoenix Suns,2250000,2001
187,Chauncey Billups,PG,Minnesota Timberwolves,2250000,2001
188,Bobby Jackson,PG,Sacramento Kings,2250000,2001
189,Chris Crawford,SF,Atlanta Hawks,2250000,2001
190,Eric Montross,C,Toronto Raptors,2240000,2001
191,Robert Traylor,PF,Cleveland Cavaliers,2203000,2001
192,Steve Kerr,G,San Antonio Spurs,2200000,2001
193,Detlef Schrempf,F,Portland Trail Blazers,2200000,2001
194,Rodney Rogers,SF,Phoenix Suns,2200000,2001
195,Jamie Feick,F,New Jersey Nets,2200000,2001
196,Jamal Crawford,SG,Chicago Bulls,2200000,2001
197,John Wallace,SF,Detroit Pistons,2200000,2001
198,Terry Porter,G,San Antonio Spurs,2200000,2001
199,Shandon Anderson,SF,Houston Rockets,2200000,2001
200,Ron Harper,G,Los Angeles Lakers,2200000,2001
201,Olden Polynice,C,Utah Jazz,2200000,2001
202,Carlos Rogers,F,Houston Rockets,2200000,2001
203,Calbert Cheaney,SG,Denver Nuggets,2200000,2001
204,Michael Curry,SF,Detroit Pistons,2200000,2001
205,George McCloud,F,Denver Nuggets,2200000,2001
206,Otis Thorpe,C,Charlotte Hornets,2200000,2001
207,George Lynch,SF,Philadelphia 76ers,2200000,2001
208,Grant Long,F,Vancouver Grizzlies,2200000,2001
209,Wally Szczerbiak,SG,Minnesota Timberwolves,2162000,2001
210,Sean Rooks,C,Los Angeles Clippers,2160000,2001
211,Lucious Harris,SG,New Jersey Nets,2160000,2001
212,DerMarr Johnson,SF,Atlanta Hawks,2107000,2001
213,Sam Mitchell,F,Minnesota Timberwolves,2100000,2001
214,Alvin Williams,PG,Toronto Raptors,2100000,2001
215,Vinny Del Negro,G,Phoenix Suns,2100000,2001
216,Clarence Weatherspoon,PF,Cleveland Cavaliers,2100000,2001
217,Cherokee Parks,PF,Washington Wizards,2100000,2001
218,Jason Williams,PG,Sacramento Kings,2011000,2001
219,Dell Curry,G,Toronto Raptors,2000000,2001
220,Richard Hamilton,SG,Washington Wizards,1973000,2001
221,Chris Mihm,C,Cleveland Cavaliers,1923000,2001
222,Andrew DeClercq,C,Orlando Magic,1920000,2001
223,Larry Hughes,SG,Golden State Warriors,1842000,2001
224,Aaron McKie,SG,Philadelphia 76ers,1820000,2001
225,Andre Miller,PG,Cleveland Cavaliers,1808000,2001
226,Greg Foster,C,Los Angeles Lakers,1764000,2001
227,Muggsy Bogues,G,Toronto Raptors,1740000,2001
228,Darvin Ham,SF,Milwaukee Bucks,1700000,2001
229,Dirk Nowitzki,F,Dallas Mavericks,1693000,2001
230,Shawn Marion,SG,Phoenix Suns,1662000,2001
231,Joel Przybilla,C,Milwaukee Bucks,1619000,2001
232,Paul Pierce,SF,Boston Celtics,1608000,2001
233,Jason Terry,G,Atlanta Hawks,1579000,2001
234,Keyon Dooling,PG,Los Angeles Clippers,1538000,2001
235,Bonzi Wells,SG,Portland Trail Blazers,1528000,2001
236,Jacque Vaughn,PG,Utah Jazz,1500000,2001
237,Trajan Langdon,SG,Cleveland Cavaliers,1500000,2001
238,Matt Bullard,F,Houston Rockets,1481000,2001
239,Jerome Moiso,C,Boston Celtics,1461000,2001
240,Aleksandar Radojevic,C,Denver Nuggets,1425000,2001
241,Johnny Newman,F,New Jersey Nets,1400000,2001
242,Keon Clark,PF,Toronto Raptors,1379000,2001
243,Tony Massenburg,PF,Vancouver Grizzlies,1360000,2001
244,Corey Maggette,SF,Los Angeles Clippers,1353000,2001
245,Corie Blount,PF,Phoenix Suns,1320000,2001
246,Courtney Alexander,SG,Washington Wizards,1319000,2001
247,Michael Dickerson,G,Vancouver Grizzlies,1310000,2001
248,Peja Stojakovic,SF,Sacramento Kings,1310000,2001
249,Will Avery,G,Minnesota Timberwolves,1286000,2001
250,Mateen Cleaves,PG,Detroit Pistons,1253000,2001
251,Matt Harpring,SF,Cleveland Cavaliers,1244000,2001
252,Zan Tabak,C,Indiana Pacers,1210000,2001
253,Danny Ferry,F,San Antonio Spurs,1200000,2001
254,Anthony Johnson,PG,Cleveland Cavaliers,1200000,2001
255,LaPhonso Ellis,F,Minnesota Timberwolves,1200000,2001
256,Eldridge Recasner,G,Charlotte Hornets,1200000,2001
257,Danny Manning,F,Utah Jazz,1200000,2001
258,Anthony Carter,PG,Miami Heat,1200000,2001
259,Hersey Hawkins,G,Charlotte Hornets,1200000,2001
260,Jason Collier,C,Houston Rockets,1190000,2001
261,Metta World Peace,SF,Chicago Bulls,1160000,2001
262,Hedo Turkoglu,SF,Sacramento Kings,1131000,2001
263,Tom Hammonds,F,Minnesota Timberwolves,1130000,2001
264,Rasho Nesterovic,C,Minnesota Timberwolves,1123000,2001
265,Cal Bowdler,F,Atlanta Hawks,1102000,2001
266,Greg Buckner,SG,Dallas Mavericks,1100000,2001
267,Desmond Mason,SF,Seattle SuperSonics,1074000,2001
268,James Posey,SF,Denver Nuggets,1047000,2001
269,Quentin Richardson,SF,Los Angeles Clippers,1020000,2001
270,Pat Garrity,PF,Orlando Magic,1019000,2001
271,Quincy Lewis,SG,Utah Jazz,1000000,2001
272,Ruben Patterson,PF,Seattle SuperSonics,990000,2001
273,Roshown McLeod,F,Philadelphia 76ers,978000,2001
274,Jamaal Magloire,C,Charlotte Hornets,975000,2001
275,Dion Glover,SG,Atlanta Hawks,960000,2001
276,Ricky Davis,SG,Miami Heat,939000,2001
277,Jeff Foster,PF,Indiana Pacers,922000,2001
278,Brian Skinner,PF,Los Angeles Clippers,901000,2001
279,Morris Peterson,SG,Toronto Raptors,898000,2001
280,Kenny Thomas,PF,Houston Rockets,885000,2001
281,Fred Hoiberg,SG,Chicago Bulls,880000,2001
282,Tyronn Lue,PG,Los Angeles Lakers,865000,2001
283,Devean George,SF,Los Angeles Lakers,849000,2001
284,Felipe Lopez,G,Washington Wizards,831000,2001
285,DeShawn Stevenson,SG,Utah Jazz,828000,2001
286,John Crotty,G,Utah Jazz,800000,2001
287,Don MacLean,F,Miami Heat,798000,2001
288,Al Harrington,PF,Indiana Pacers,797000,2001
289,Dalibor Bagaric,C,Chicago Bulls,795000,2001
290,Tim James,F,Charlotte Hornets,783000,2001
291,Jake Tsakalidis,C,Phoenix Suns,763000,2001
292,Vonteego Cummings,PG,Golden State Warriors,757000,2001
293,Hubert Davis,SG,Washington Wizards,752000,2001
294,Corey Benjamin,G,Chicago Bulls,744000,2001
295,Nazr Mohammed,C,Philadelphia 76ers,739000,2001
296,Jumaine Jones,SF,Philadelphia 76ers,735000,2001
297,Bruce Bowen,SF,Miami Heat,733000,2001
298,Scott Padgett,PF,Utah Jazz,730000,2001
299,Damon Jones,PG,Vancouver Grizzlies,714000,2001
300,Erick Barkley,G,Portland Trail Blazers,712000,2001
301,Mark Madsen,PF,Los Angeles Lakers,707000,2001
302,Darrick Martin,PG,Sacramento Kings,673000,2001
303,Emanual Davis,G,Seattle SuperSonics,611000,2001
304,Eddie Robinson,SF,Charlotte Hornets,600000,2001
305,John Amaechi,PF,Orlando Magic,598000,2001
306,Shammond Williams,PG,Seattle SuperSonics,550000,2001
307,Kevin Edwards,G,Vancouver Grizzlies,548000,2001
308,Mahmoud Abdul-Rauf,G,Vancouver Grizzlies,548000,2001
309,David Benoit,F,Utah Jazz,548000,2001
310,David Wingate,G,Seattle SuperSonics,548000,2001
311,Mario Elie,G,Phoenix Suns,548000,2001
312,Felton Spencer,C,New York Knicks,548000,2001
313,Don Reid,F,Orlando Magic,548000,2001
314,Monty Williams,SF,Orlando Magic,548000,2001
315,Shawnelle Scott,C,San Antonio Spurs,548000,2001
316,Terry Davis,C,Denver Nuggets,548000,2001
317,Stacey Augmon,SF,Portland Trail Blazers,548000,2001
