"","Date","tmax","tmin","prcp"
"111",1896-04-20,82,46,0
"112",1896-04-21,84,49,0
"113",1896-04-22,76,55,0
"114",1896-04-23,78,44,0
"115",1896-04-24,80,46,0
"116",1896-04-25,86,45,0
"117",1896-04-26,82,56,0
"118",1896-04-27,71,55,0
"119",1896-04-28,79,45,0
"120",1896-04-29,85,46,0
"121",1896-04-30,80,51,0
"122",1896-05-01,85,51,0
"123",1896-05-02,87,54,0
"124",1896-05-03,90,57,0
"125",1896-05-04,91,55,0
"126",1896-05-05,87,59,0
"127",1896-05-06,78,53,0
"128",1896-05-07,76,45,0
"129",1896-05-08,75,47,0
"130",1896-05-09,81,48,0
"131",1896-05-10,77,50,0
"132",1896-05-11,84,45,0
"133",1896-05-12,84,59,0
"134",1896-05-13,86,57,0
"135",1896-05-14,89,51,0
"136",1896-05-15,86,57,0
"137",1896-05-16,85,56,0
"138",1896-05-17,91,56,0
"139",1896-05-18,90,59,0
"140",1896-05-19,85,58,0
"141",1896-05-20,88,56,0
"142",1896-05-21,88,61,0
"143",1896-05-22,90,58,0
"144",1896-05-23,90,60,0
"145",1896-05-24,98,72,0
"146",1896-05-25,106,74,0
"147",1896-05-26,107,78,0
"148",1896-05-27,109,74,0
"149",1896-05-28,110,76,0
"150",1896-05-29,101,80,0
"151",1896-05-30,88,62,0
"152",1896-05-31,96,64,0
"153",1896-06-01,100,69,0
"154",1896-06-02,99,67,0
"155",1896-06-03,96,63,0
"156",1896-06-04,93,61,0
"157",1896-06-05,94,61,0
"158",1896-06-06,94,65,0
"159",1896-06-07,102,66,0
"160",1896-06-08,102,68,0
"161",1896-06-09,106,68,0
"162",1896-06-10,108,71,0
"163",1896-06-11,110,67,0
"164",1896-06-12,110,79,0
"165",1896-06-13,114,81,0
"166",1896-06-14,112,80,0
"167",1896-06-15,115,79,0
"168",1896-06-16,115,78,0
"169",1896-06-17,114,83,0
"170",1896-06-18,111,79,0
"171",1896-06-19,107,75,0
"172",1896-06-20,105,72,0
"173",1896-06-21,105,71,0
"174",1896-06-22,107,71,0
"175",1896-06-23,106,74,0
"176",1896-06-24,104,69,0
"177",1896-06-25,102,70,0
"178",1896-06-26,101,68,0
"179",1896-06-27,104,73,0
"180",1896-06-28,106,74,0
"181",1896-06-29,105,73,0
"182",1896-06-30,106,76,0
"183",1896-07-01,104,74,0
"184",1896-07-02,103,71,0
"185",1896-07-03,105,75,0
"186",1896-07-04,103,83,0
"187",1896-07-05,106,80,0
"188",1896-07-06,106,84,0
"189",1896-07-07,105,80,0.04
"190",1896-07-08,107,76,0.02
"191",1896-07-09,109,83,0
"192",1896-07-10,104,80,0.02
"193",1896-07-11,108,78,0
"194",1896-07-12,109,80,0
"195",1896-07-13,102,78,0.18
"196",1896-07-14,102,74,0
"197",1896-07-15,94,72,0.26
"198",1896-07-16,96,70,1.48
"199",1896-07-17,91,75,0.02
"200",1896-07-18,90,70,0.31
"201",1896-07-19,97,75,0
"202",1896-07-20,93,74,0.1
"203",1896-07-21,85,69,0.91
"204",1896-07-22,95,74,0.05
"205",1896-07-23,101,76,0
"206",1896-07-24,88,70,0.84
"207",1896-07-25,95,70,0
"208",1896-07-26,99,75,0
"209",1896-07-27,103,76,0
"210",1896-07-28,100,76,0
"211",1896-07-29,102,78,0.02
"212",1896-07-30,101,78,0
"213",1896-07-31,103,76,0
"214",1896-08-01,102,80,0
"215",1896-08-02,106,76,0.05
"216",1896-08-03,94,71,0.6
"217",1896-08-04,98,74,0
"218",1896-08-05,98,71,0
"219",1896-08-06,100,77,0
"220",1896-08-07,99,79,0
"221",1896-08-08,103,77,0
"222",1896-08-09,106,75,0
"223",1896-08-10,106,78,0
"224",1896-08-11,103,80,0
"225",1896-08-12,106,82,0
"226",1896-08-13,108,82,0
"227",1896-08-14,107,82,0
"228",1896-08-15,102,82,0
"229",1896-08-16,95,69,0.4
"230",1896-08-17,100,79,0
"231",1896-08-18,106,80,0
"232",1896-08-19,93,76,0.02
"233",1896-08-20,95,73,0.25
"234",1896-08-21,101,77,0
"235",1896-08-22,101,76,0
"236",1896-08-23,100,75,0
"237",1896-08-24,102,75,0.2
"238",1896-08-25,102,78,0
"239",1896-08-26,102,75,0
"240",1896-08-27,94,75,0.23
"241",1896-08-28,91,76,0.02
"242",1896-08-29,95,75,0
"243",1896-08-30,102,74,0
"244",1896-08-31,104,73,0
"245",1896-09-01,104,74,0
"246",1896-09-02,100,73,0
"247",1896-09-03,103,72,0
"248",1896-09-04,104,80,0
"249",1896-09-05,101,83,0
"250",1896-09-06,101,80,0
"251",1896-09-07,99,80,0
"252",1896-09-08,93,78,0
"253",1896-09-09,78,67,0.66
"254",1896-09-10,89,71,0.03
"255",1896-09-11,91,69,0
"256",1896-09-12,94,68,0
"257",1896-09-13,96,71,0
"258",1896-09-14,100,68,0
"259",1896-09-15,102,70,0
"260",1896-09-16,103,76,0
"261",1896-09-17,102,77,0
"262",1896-09-18,97,78,0
"263",1896-09-19,92,69,0
"264",1896-09-20,86,70,0.49
"265",1896-09-21,92,67,0
"266",1896-09-22,93,76,0
"267",1896-09-23,85,67,0
"268",1896-09-24,89,55,0
"269",1896-09-25,94,58,0
"270",1896-09-26,96,60,0
"271",1896-09-27,98,60,0
"272",1896-09-28,95,63,0
"273",1896-09-29,97,69,0
"274",1896-09-30,90,67,0
"275",1896-10-01,90,65,0.32
"276",1896-10-02,92,62,0
"277",1896-10-03,91,64,0
"278",1896-10-04,94,64,0
"279",1896-10-05,94,64,0
"280",1896-10-06,98,66,0
"281",1896-10-07,92,66,0
"282",1896-10-08,95,69,0
"283",1896-10-09,90,66,0
"284",1896-10-10,92,66,0
"285",1896-10-11,88,65,0
"286",1896-10-12,76,62,0.18
"287",1896-10-13,79,53,0
"288",1896-10-14,82,55,0
"289",1896-10-15,84,63,0
"290",1896-10-16,83,64,0
"291",1896-10-17,90,60,0
"292",1896-10-18,87,58,0
"293",1896-10-19,84,59,0
"294",1896-10-20,87,59,0
"295",1896-10-21,83,59,0
"296",1896-10-22,70,56,0.28
"297",1896-10-23,70,54,0.04
"298",1896-10-24,74,53,0
"299",1896-10-25,78,55,0
"300",1896-10-26,80,56,0
"301",1896-10-27,69,49,0.06
"302",1896-10-28,66,48,0
"303",1896-10-29,70,47,0.14
"304",1896-10-30,74,47,0
"305",1896-10-31,79,48,0
"306",1896-11-01,77,50,0
"307",1896-11-02,76,48,0
"308",1896-11-03,74,46,0
"309",1896-11-04,73,44,0
"310",1896-11-05,74,38,0
"311",1896-11-06,72,43,0
"312",1896-11-07,72,39,0
"313",1896-11-08,71,40,0
"314",1896-11-09,72,44,0
"315",1896-11-10,77,48,0
"316",1896-11-11,77,55,0
"317",1896-11-12,81,54,0
"318",1896-11-13,82,52,0
"319",1896-11-14,83,52,0
"320",1896-11-15,83,50,0
"321",1896-11-16,83,50,0
"322",1896-11-17,83,49,0
"323",1896-11-18,77,46,0
"324",1896-11-19,75,47,0
"325",1896-11-20,76,52,0
"326",1896-11-21,78,45,0
"327",1896-11-22,80,50,0
"328",1896-11-23,79,48,0
"329",1896-11-24,73,49,0
"330",1896-11-25,60,53,0.64
"331",1896-11-26,59,43,0
"332",1896-11-27,59,36,0
"333",1896-11-28,57,32,0
"334",1896-11-29,62,35,0
"335",1896-11-30,58,37,0
"336",1896-12-01,62,36,0
"337",1896-12-02,68,35,0
"338",1896-12-03,74,35,0
"339",1896-12-04,73,38,0
"340",1896-12-05,72,38,0
"341",1896-12-06,68,40,0
"342",1896-12-07,68,37,0
"343",1896-12-08,68,33,0
"344",1896-12-09,74,44,0
"345",1896-12-10,74,45,0
"346",1896-12-11,70,42,0
"347",1896-12-12,70,40,0
"348",1896-12-13,68,39,0
"349",1896-12-14,72,40,0
"350",1896-12-15,65,45,0
"351",1896-12-16,63,44,0
"352",1896-12-17,63,36,0
"353",1896-12-18,66,36,0
"354",1896-12-19,69,36,0
"355",1896-12-20,70,37,0
"356",1896-12-21,75,40,0
"357",1896-12-22,75,43,0
"358",1896-12-23,70,40,0
"359",1896-12-24,74,40,0
"360",1896-12-25,73,45,0
"361",1896-12-26,73,52,0
"362",1896-12-27,72,37,0
"363",1896-12-28,69,38,0
"364",1896-12-29,58,45,0
"365",1896-12-30,58,38,0
"366",1896-12-31,60,38,0
"367",1897-01-01,56,36,0
"368",1897-01-02,56,34,0
"369",1897-01-03,54,28,0
"370",1897-01-04,58,28,0
"371",1897-01-05,62,27,0
"372",1897-01-06,67,35,0
"373",1897-01-07,67,41,0
"374",1897-01-08,71,46,0
"375",1897-01-09,58,45,0.15
"376",1897-01-10,57,44,0.05
"377",1897-01-11,62,50,1.74
"378",1897-01-12,63,45,0.12
"379",1897-01-13,60,46,0.81
"380",1897-01-14,65,51,0.01
"381",1897-01-15,60,45,0.66
"382",1897-01-16,56,38,0.05
"383",1897-01-17,58,40,0
"384",1897-01-18,60,47,0
"385",1897-01-19,58,35,0
"386",1897-01-20,58,35,0
"387",1897-01-21,67,35,0
"388",1897-01-22,71,38,0
"389",1897-01-23,71,42,0
"390",1897-01-24,67,43,0
"391",1897-01-25,66,41,0
"392",1897-01-26,62,41,0
"393",1897-01-27,62,38,0
"394",1897-01-28,63,48,0.04
"395",1897-01-29,62,45,0
"396",1897-01-30,61,43,0.04
"397",1897-01-31,62,44,0
"398",1897-02-01,63,45,0
"399",1897-02-02,66,46,0
"400",1897-02-03,64,40,0
"401",1897-02-04,62,37,0
"402",1897-02-05,61,38,0
"403",1897-02-06,64,42,0
"404",1897-02-07,66,41,0
"405",1897-02-08,61,40,0
"406",1897-02-09,58,42,0
"407",1897-02-10,59,39,0
"408",1897-02-11,61,35,0
"409",1897-02-12,62,36,0
"410",1897-02-13,59,38,0
"411",1897-02-14,56,31,0
"412",1897-02-15,62,32,0
"413",1897-02-16,68,36,0
"414",1897-02-17,71,39,0
"415",1897-02-18,68,44,0
"416",1897-02-19,62,50,0.02
"417",1897-02-20,55,45,0.4
"418",1897-02-21,51,40,0.05
"419",1897-02-22,54,30,0
"420",1897-02-23,59,31,0
"421",1897-02-24,61,31,0
"422",1897-02-25,68,36,0
"423",1897-02-26,77,40,0
"424",1897-02-27,78,49,0
"425",1897-02-28,77,50,0
"426",1897-03-01,74,47,0
"427",1897-03-02,70,44,0
"428",1897-03-03,59,44,0.36
"429",1897-03-04,60,37,0.03
"430",1897-03-05,64,38,0
"431",1897-03-06,66,40,0
"432",1897-03-07,67,44,0
"433",1897-03-08,66,44,0
"434",1897-03-09,66,37,0
"435",1897-03-10,68,38,0
"436",1897-03-11,68,39,0
"437",1897-03-12,67,39,0
"438",1897-03-13,64,39,0
"439",1897-03-14,67,34,0
"440",1897-03-15,71,42,0
"441",1897-03-16,69,47,0.03
"442",1897-03-17,66,45,0.05
"443",1897-03-18,64,46,0.06
"444",1897-03-19,66,49,0
"445",1897-03-20,63,47,0
"446",1897-03-21,57,38,0
"447",1897-03-22,55,32,0
"448",1897-03-23,66,31,0
"449",1897-03-24,74,38,0
"450",1897-03-25,80,45,0
"451",1897-03-26,84,46,0
"452",1897-03-27,78,47,0
"453",1897-03-28,76,44,0
"454",1897-03-29,68,48,0
"455",1897-03-30,59,38,0
"456",1897-03-31,63,32,0
"457",1897-04-01,74,38,0
"458",1897-04-02,70,46,0
"459",1897-04-03,76,42,0
"460",1897-04-04,81,46,0
"461",1897-04-05,83,49,0
"462",1897-04-06,84,50,0
"463",1897-04-07,87,53,0
"464",1897-04-08,81,47,0
"465",1897-04-09,82,55,0
"466",1897-04-10,85,48,0
"467",1897-04-11,90,53,0
"468",1897-04-12,87,50,0
"469",1897-04-13,88,48,0
"470",1897-04-14,88,53,0
"471",1897-04-15,94,53,0
"472",1897-04-16,94,59,0
"473",1897-04-17,95,57,0
"474",1897-04-18,96,63,0
"475",1897-04-19,88,63,0
"476",1897-04-20,83,53,0
"477",1897-04-21,86,48,0
"478",1897-04-22,85,52,0
"479",1897-04-23,75,54,0
"480",1897-04-24,75,50,0
"481",1897-04-25,85,45,0
"482",1897-04-26,82,54,0
"483",1897-04-27,79,55,0
"484",1897-04-28,87,54,0
"485",1897-04-29,88,55,0
"486",1897-04-30,95,54,0
"487",1897-05-01,90,61,0
"488",1897-05-02,84,61,0
"489",1897-05-03,75,52,0.01
"490",1897-05-04,85,54,0
"491",1897-05-05,92,58,0
"492",1897-05-06,95,60,0
"493",1897-05-07,94,59,0
"494",1897-05-08,92,61,0
"495",1897-05-09,94,58,0
"496",1897-05-10,94,55,0
"497",1897-05-11,93,61,0
"498",1897-05-12,92,62,0
"499",1897-05-13,94,61,0
"500",1897-05-14,96,63,0
"501",1897-05-15,97,66,0
"502",1897-05-16,91,58,0
"503",1897-05-17,91,61,0
"504",1897-05-18,91,60,0
"505",1897-05-19,93,62,0
"506",1897-05-20,96,62,0
"507",1897-05-21,96,61,0
"508",1897-05-22,98,60,0
"509",1897-05-23,98,63,0
"510",1897-05-24,96,62,0
"511",1897-05-25,95,63,0
"512",1897-05-26,94,64,0
"513",1897-05-27,99,63,0
"514",1897-05-28,104,65,0
"515",1897-05-29,101,66,0
"516",1897-05-30,98,67,0
"517",1897-05-31,100,69,0
"518",1897-06-01,92,66,0
"519",1897-06-02,91,61,0
"520",1897-06-03,95,63,0
"521",1897-06-04,100,61,0
"522",1897-06-05,102,62,0
"523",1897-06-06,104,68,0
"524",1897-06-07,105,69,0
"525",1897-06-08,103,67,0
"526",1897-06-09,100,71,0
"527",1897-06-10,99,68,0
"528",1897-06-11,99,74,0
"529",1897-06-12,101,71,0
"530",1897-06-13,100,73,0
"531",1897-06-14,99,69,0
"532",1897-06-15,91,67,0
"533",1897-06-16,89,54,0
"534",1897-06-17,94,57,0
"535",1897-06-18,98,62,0
"536",1897-06-19,100,64,0
"537",1897-06-20,104,68,0
"538",1897-06-21,107,74,0
"539",1897-06-22,104,71,0
"540",1897-06-23,100,67,0
"541",1897-06-24,101,67,0
"542",1897-06-25,99,65,0
"543",1897-06-26,95,64,0
"544",1897-06-27,92,63,0
"545",1897-06-28,97,70,0
"546",1897-06-29,96,68,0
"547",1897-06-30,100,73,0
"548",1897-07-01,100,72,0
"549",1897-07-02,100,70,0
"550",1897-07-03,98,70,0
"551",1897-07-04,100,69,0
"552",1897-07-05,102,73,0
"553",1897-07-06,102,73,0
"554",1897-07-07,99,78,0
"555",1897-07-08,92,69,0.53
"556",1897-07-09,102,76,0
"557",1897-07-10,107,79,0
"558",1897-07-11,104,80,0
"559",1897-07-12,104,76,0
"560",1897-07-13,107,79,0
"561",1897-07-14,106,80,0
"562",1897-07-15,107,81,0
"563",1897-07-16,106,81,0
"564",1897-07-17,105,80,0
"565",1897-07-18,103,81,0
"566",1897-07-19,104,74,0.02
"567",1897-07-20,106,69,0
"568",1897-07-21,103,77,0
"569",1897-07-22,101,77,0
"570",1897-07-23,100,75,0.04
"571",1897-07-24,100,71,0
"572",1897-07-25,105,67,0
"573",1897-07-26,105,78,0
"574",1897-07-27,107,80,0
"575",1897-07-28,106,85,0
"576",1897-07-29,106,78,0
"577",1897-07-30,107,80,0
"578",1897-07-31,102,85,0
"579",1897-08-01,101,81,0
"580",1897-08-02,88,74,0.05
"581",1897-08-03,97,72,0.6
"582",1897-08-04,103,76,0
"583",1897-08-05,109,78,0
"584",1897-08-06,110,78,0
"585",1897-08-07,106,80,0
"586",1897-08-08,99,76,0
"587",1897-08-09,99,78,0
"588",1897-08-10,104,76,0
"589",1897-08-11,101,77,0
"590",1897-08-12,96,75,0
"591",1897-08-13,100,78,0
"592",1897-08-14,104,78,0
"593",1897-08-15,105,76,0
"594",1897-08-16,106,79,0.4
"595",1897-08-17,107,79,0
"596",1897-08-18,108,81,0
"597",1897-08-19,105,82,0.02
"598",1897-08-20,103,72,0.25
"599",1897-08-21,103,72,0
"600",1897-08-22,105,78,0
"601",1897-08-23,102,76,0
"602",1897-08-24,103,77,0.2
"603",1897-08-25,100,77,0
"604",1897-08-26,92,71,0
"605",1897-08-27,100,74,0.23
"606",1897-08-28,103,73,0.02
"607",1897-08-29,102,76,0
"608",1897-08-30,103,75,0
"609",1897-08-31,99,75,0
"610",1897-09-01,97,77,0
"611",1897-09-02,93,74,0
"612",1897-09-03,97,69,0
"613",1897-09-04,102,66,0
"614",1897-09-05,102,70,0.3
"615",1897-09-06,101,78,0
"616",1897-09-07,97,72,0.41
"617",1897-09-08,97,72,0
"618",1897-09-09,98,76,0
"619",1897-09-10,95,72,0.27
"620",1897-09-11,83,69,0.03
"621",1897-09-12,92,68,1.9
"622",1897-09-13,95,72,0
"623",1897-09-14,93,65,0
"624",1897-09-15,92,67,0
"625",1897-09-16,96,67,0
"626",1897-09-17,96,73,0
"627",1897-09-18,95,73,0
"628",1897-09-19,91,72,0
"629",1897-09-20,96,70,0.08
"630",1897-09-21,97,75,0
"631",1897-09-22,97,75,0
"632",1897-09-23,99,71,0.04
"633",1897-09-24,93,72,0
"634",1897-09-25,94,69,0
"635",1897-09-26,98,71,0
"636",1897-09-27,100,69,0
"637",1897-09-28,98,70,0
"638",1897-09-29,95,67,0.64
"639",1897-09-30,95,70,0
"640",1897-10-01,88,73,0
"641",1897-10-02,92,57,0
"642",1897-10-03,89,58,0
"643",1897-10-04,94,60,0
"644",1897-10-05,97,72,0
"645",1897-10-06,100,69,0
"646",1897-10-07,83,70,0.13
"647",1897-10-08,88,62,0
"648",1897-10-09,84,59,0
"649",1897-10-10,86,58,0
"650",1897-10-11,88,55,0
"651",1897-10-12,89,56,0
"652",1897-10-13,86,63,0
"653",1897-10-14,78,59,0
"654",1897-10-15,74,57,0.02
"655",1897-10-16,73,46,0
"656",1897-10-17,79,44,0
"657",1897-10-18,88,44,0
"658",1897-10-19,85,50,0
"659",1897-10-20,86,50,0
"660",1897-10-21,86,49,0
"661",1897-10-22,87,52,0
"662",1897-10-23,88,52,0
"663",1897-10-24,70,51,0
"664",1897-10-25,65,42,0
"665",1897-10-26,69,45,0
"666",1897-10-27,69,42,0
"667",1897-10-28,67,49,0
"668",1897-10-29,68,48,0
"669",1897-10-30,72,43,0
"670",1897-10-31,78,43,0
"671",1897-11-01,84,46,0
"672",1897-11-02,84,53,0
"673",1897-11-03,82,51,0
"674",1897-11-04,72,46,0
"675",1897-11-05,73,43,0
"676",1897-11-06,73,45,0
"677",1897-11-07,68,44,0
"678",1897-11-08,67,32,0
"679",1897-11-09,69,31,0
"680",1897-11-10,74,36,0
"681",1897-11-11,73,42,0
"682",1897-11-12,78,47,0
"683",1897-11-13,79,50,0
"684",1897-11-14,78,44,0
"685",1897-11-15,77,41,0
"686",1897-11-16,82,42,0
"687",1897-11-17,79,51,0
"688",1897-11-18,84,44,0
"689",1897-11-19,88,53,0
"690",1897-11-20,85,51,0
"691",1897-11-21,84,53,0
"692",1897-11-22,86,49,0
"693",1897-11-23,82,50,0
"694",1897-11-24,78,48,0
"695",1897-11-25,65,46,0
"696",1897-11-26,68,34,0
"697",1897-11-27,72,36,0
"698",1897-11-28,68,38,0
"699",1897-11-29,74,38,0
"700",1897-11-30,76,36,0
"701",1897-12-01,70,40,0
"702",1897-12-02,58,42,0.06
"703",1897-12-03,58,31,0
"704",1897-12-04,61,28,0
"705",1897-12-05,69,30,0
"706",1897-12-06,70,35,0
"707",1897-12-07,71,32,0
"708",1897-12-08,69,36,0
"709",1897-12-09,65,39,0
"710",1897-12-10,67,31,0
"711",1897-12-11,69,36,0
"712",1897-12-12,68,36,0
"713",1897-12-13,68,36,0
"714",1897-12-14,66,37,0
"715",1897-12-15,59,38,0
"716",1897-12-16,58,37,0
"717",1897-12-17,58,30,0
"718",1897-12-18,57,30,0
"719",1897-12-19,45,37,0.11
"720",1897-12-20,49,24,0
"721",1897-12-21,48,27,0
"722",1897-12-22,55,23,0
"723",1897-12-23,64,30,0
"724",1897-12-24,60,31,0
"725",1897-12-25,60,30,0
"726",1897-12-26,67,29,0
"727",1897-12-27,73,36,0
"728",1897-12-28,74,36,0
"729",1897-12-29,75,39,0
"730",1897-12-30,73,37,0
"731",1897-12-31,79,39,0
"732",1898-01-01,73,56,0
"733",1898-01-02,73,51,0
"734",1898-01-03,70,49,0
"735",1898-01-04,67,47,0
"736",1898-01-05,68,37,0
"737",1898-01-06,67,39,0
"738",1898-01-07,59,42,0
"739",1898-01-08,58,43,0
"740",1898-01-09,64,44,0.01
"741",1898-01-10,59,36,0.49
"742",1898-01-11,47,36,0.28
"743",1898-01-12,48,32,0
"744",1898-01-13,48,38,0.21
"745",1898-01-14,50,27,0
"746",1898-01-15,55,29,0
"747",1898-01-16,58,30,0
"748",1898-01-17,55,32,0
"749",1898-01-18,59,32,0
"750",1898-01-19,57,31,0
"751",1898-01-20,46,30,0
"752",1898-01-21,51,24,0
"753",1898-01-22,52,27,0
"754",1898-01-23,55,28,0
"755",1898-01-24,45,32,0
"756",1898-01-25,47,23,0
"757",1898-01-26,54,26,0
"758",1898-01-27,54,40,0.02
"759",1898-01-28,62,46,0.57
"760",1898-01-29,61,48,0.05
"761",1898-01-30,64,37,0
"762",1898-01-31,68,39,0
"763",1898-02-01,68,44,0
"764",1898-02-02,73,41,0
"765",1898-02-03,72,50,0
"766",1898-02-04,73,42,0
"767",1898-02-05,72,41,0
"768",1898-02-06,74,45,0
"769",1898-02-07,70,44,0
"770",1898-02-08,63,50,0
"771",1898-02-09,68,42,0
"772",1898-02-10,66,36,0
"773",1898-02-11,71,36,0
"774",1898-02-12,72,39,0
"775",1898-02-13,76,38,0
"776",1898-02-14,75,41,0
"777",1898-02-15,80,44,0
"778",1898-02-16,77,47,0
"779",1898-02-17,69,48,0
"780",1898-02-18,65,48,0
"781",1898-02-19,71,40,0
"782",1898-02-20,79,43,0
"783",1898-02-21,78,44,0
"784",1898-02-22,75,44,0
"785",1898-02-23,80,43,0
"786",1898-02-24,79,47,0
"787",1898-02-25,80,48,0
"788",1898-02-26,76,48,0
"789",1898-02-27,81,44,0
"790",1898-02-28,81,49,0
"791",1898-03-01,83,47,0
"792",1898-03-02,74,58,0
"793",1898-03-03,73,50,0
"794",1898-03-04,76,46,0
"795",1898-03-05,78,45,0
"796",1898-03-06,79,47,0
"797",1898-03-07,75,49,0
"798",1898-03-08,82,46,0
"799",1898-03-09,76,61,0
"800",1898-03-10,69,52,0
"801",1898-03-11,63,50,0.02
"802",1898-03-12,69,43,0.01
"803",1898-03-13,73,44,0
"804",1898-03-14,59,37,0
"805",1898-03-15,69,37,0
"806",1898-03-16,71,38,0
"807",1898-03-17,68,42,0
"808",1898-03-18,61,47,0
"809",1898-03-19,64,34,0
"810",1898-03-20,68,35,0
"811",1898-03-21,70,39,0
"812",1898-03-22,60,44,0
"813",1898-03-23,65,35,0
"814",1898-03-24,76,36,0
"815",1898-03-25,74,43,0
"816",1898-03-26,63,43,0
"817",1898-03-27,63,33,0
"818",1898-03-28,73,34,0
"819",1898-03-29,71,46,0
"820",1898-03-30,74,38,0
"821",1898-03-31,78,40,0
"822",1898-04-01,85,42,0
"823",1898-04-02,80,55,0
"824",1898-04-03,73,45,0
"825",1898-04-04,74,41,0
"826",1898-04-05,81,47,0
"827",1898-04-06,83,58,0
"828",1898-04-07,81,52,0
"829",1898-04-08,86,49,0
"830",1898-04-09,90,50,0
"831",1898-04-10,86,60,0
"832",1898-04-11,86,57,0
"833",1898-04-12,92,60,0
"834",1898-04-13,90,69,0
"835",1898-04-14,94,61,0
"836",1898-04-15,81,56,0.15
"837",1898-04-16,73,59,0.03
"838",1898-04-17,82,58,0
"839",1898-04-18,86,56,0
"840",1898-04-19,90,59,0
"841",1898-04-20,90,58,0
"842",1898-04-21,83,59,0
"843",1898-04-22,91,56,0
"844",1898-04-23,96,56,0
"845",1898-04-24,99,58,0
"846",1898-04-25,102,67,0
"847",1898-04-26,101,68,0
"848",1898-04-27,98,66,0
"849",1898-04-28,94,65,0
"850",1898-04-29,79,56,0
"851",1898-04-30,73,60,0
"852",1898-05-01,74,53,0.01
"853",1898-05-02,73,53,0
"854",1898-05-03,78,48,0
"855",1898-05-04,77,58,0
"856",1898-05-05,84,51,0
"857",1898-05-06,93,54,0
"858",1898-05-07,91,60,0
"859",1898-05-08,85,59,0
"860",1898-05-09,93,60,0
"861",1898-05-10,98,65,0
