City,Year,Total Precipitation
Ely,1972,6.59
Ely,1973,11.23
Ely,1974,4.22
Ely,1975,9.77
Ely,1976,8.25
Ely,1977,9.19
Ely,1978,12.47
Ely,1979,7.39
Ely,1980,12.78
Ely,1981,10.29
Ely,1982,15.53
Ely,1983,14.84
Ely,1984,14.84
Ely,1985,9.89
Ely,1986,8.6
Ely,1987,12.3
Ely,1988,8.66
Ely,1989,6.6
Ely,1990,8.76
Ely,1991,9.98
Ely,1992,9.78
Ely,1993,10.06
Ely,1994,9.22
Ely,1995,12.1
Ely,1996,7.3
Ely,1997,9.6
Ely,1998,12.23
Ely,1999,6.67
Ely,2000,10.12
Ely,2001,6.89
Ely,2002,4.52
Ely,2003,8.54
Ely,2004,9.0
Ely,2005,12.98
Ely,2006,9.19
Ely,2007,6.76
Ely,2008,5.5
Ely,2009,10.04
Ely,2010,11.11
Ely,2011,12.0
Ely,2012,12.24
Ely,2013,8.54
Ely,2014,9.26
Ely,2015,9.86
Ely,2016,10.98
Ely,2017,9.68
Ely,2018,7.83
Ely,2019,14.55
Ely,2020,5.0
Fresno,1960,9.57
Fresno,1961,6.96
Fresno,1962,9.59
Fresno,1963,14.27
Fresno,1964,8.44
Fresno,1965,10.34
Fresno,1966,6.07
Fresno,1967,12.98
Fresno,1968,10.5
Fresno,1969,19.14
Fresno,1970,11.86
Fresno,1971,6.99
Fresno,1972,7.47
Fresno,1973,12.68
Fresno,1974,9.31
Fresno,1975,6.33
Fresno,1976,11.04
Fresno,1977,6.56
Fresno,1978,17.68
Fresno,1979,9.95
Fresno,1980,10.28
Fresno,1981,10.01
Fresno,1982,16.08
Fresno,1983,21.61
Fresno,1984,6.77
Fresno,1985,8.4
Fresno,1986,12.41
Fresno,1987,9.19
Fresno,1988,9.39
Fresno,1989,6.91
Fresno,1990,8.73
Fresno,1991,10.49
Fresno,1992,14.08
Fresno,1993,13.75
Fresno,1994,10.12
Fresno,1995,17.25
Fresno,1996,16.97
Fresno,1997,7.68
Fresno,1998,17.65
Fresno,1999,6.17
Fresno,2000,15.24
Fresno,2001,12.02
Fresno,2002,6.75
Fresno,2003,9.14
Fresno,2004,10.63
Fresno,2005,11.68
Fresno,2006,13.94
Fresno,2007,7.03
Fresno,2008,8.46
Fresno,2009,9.08
Fresno,2010,16.51
Fresno,2011,10.92
Fresno,2012,9.97
Fresno,2013,3.01
Fresno,2014,7.46
Fresno,2015,8.98
Fresno,2016,13.65
Fresno,2017,13.21
Fresno,2018,8.65
Fresno,2019,12.4
Fresno,2020,6.17
GrandJunction,1960,6.24
GrandJunction,1961,9.48
GrandJunction,1962,6.02
GrandJunction,1963,7.32
GrandJunction,1964,6.88
GrandJunction,1965,14.16
GrandJunction,1966,7.52
GrandJunction,1967,7.68
GrandJunction,1968,7.45
GrandJunction,1969,10.31
GrandJunction,1970,8.3
GrandJunction,1971,6.0
GrandJunction,1972,7.33
GrandJunction,1973,7.94
GrandJunction,1974,8.2
GrandJunction,1975,9.18
GrandJunction,1976,5.27
GrandJunction,1977,5.68
GrandJunction,1978,7.89
GrandJunction,1979,8.9
GrandJunction,1980,10.14
GrandJunction,1981,8.78
GrandJunction,1982,8.22
GrandJunction,1983,14.82
GrandJunction,1984,11.59
GrandJunction,1985,12.22
GrandJunction,1986,8.86
GrandJunction,1987,11.53
GrandJunction,1988,7.85
GrandJunction,1989,5.51
GrandJunction,1990,8.41
GrandJunction,1991,9.23
GrandJunction,1992,9.19
GrandJunction,1993,11.68
GrandJunction,1994,6.98
GrandJunction,1995,10.19
GrandJunction,1996,10.06
GrandJunction,1997,13.22
GrandJunction,1998,9.12
GrandJunction,1999,8.09
GrandJunction,2000,7.51
GrandJunction,2001,8.4
GrandJunction,2002,7.87
GrandJunction,2003,7.31
GrandJunction,2004,9.6
GrandJunction,2005,11.82
GrandJunction,2006,9.87
GrandJunction,2007,9.72
GrandJunction,2008,7.26
GrandJunction,2009,7.79
GrandJunction,2010,8.8
GrandJunction,2011,9.76
GrandJunction,2012,4.53
GrandJunction,2013,12.43
GrandJunction,2014,11.96
GrandJunction,2015,13.25
GrandJunction,2016,8.83
GrandJunction,2017,5.08
GrandJunction,2018,8.21
GrandJunction,2019,8.56
GrandJunction,2020,5.11
LosAngeles,1960,9.57
LosAngeles,1961,5.83
LosAngeles,1962,15.37
LosAngeles,1963,12.31
LosAngeles,1964,7.98
LosAngeles,1965,26.81
LosAngeles,1966,12.91
LosAngeles,1967,23.66
LosAngeles,1968,7.58
LosAngeles,1969,26.32
LosAngeles,1970,16.54
LosAngeles,1971,9.26
LosAngeles,1972,6.54
LosAngeles,1973,17.45
LosAngeles,1974,16.69
LosAngeles,1975,10.7
LosAngeles,1976,11.01
LosAngeles,1977,14.97
LosAngeles,1978,30.57
LosAngeles,1979,17.0
LosAngeles,1980,26.33
LosAngeles,1981,10.92
LosAngeles,1982,14.41
LosAngeles,1983,34.04
LosAngeles,1984,8.9
LosAngeles,1985,8.92
LosAngeles,1986,18.0
LosAngeles,1987,9.11
LosAngeles,1988,11.63
LosAngeles,1989,4.56
LosAngeles,1990,6.49
LosAngeles,1991,15.07
LosAngeles,1992,22.65
LosAngeles,1993,23.5
LosAngeles,1994,8.66
LosAngeles,1995,23.65
LosAngeles,1996,17.75
LosAngeles,1997,10.69
LosAngeles,1998,27.85
LosAngeles,1999,8.06
LosAngeles,2000,11.93
LosAngeles,2001,19.6
LosAngeles,2002,7.35
LosAngeles,2003,13.37
LosAngeles,2004,20.1
LosAngeles,2005,26.61
LosAngeles,2006,11.61
LosAngeles,2007,5.66
LosAngeles,2008,14.43
LosAngeles,2009,9.39
LosAngeles,2010,23.09
LosAngeles,2011,12.26
LosAngeles,2012,8.15
LosAngeles,2013,3.6
LosAngeles,2014,9.77
LosAngeles,2015,7.66
LosAngeles,2016,11.8
LosAngeles,2017,13.24
LosAngeles,2018,8.86
LosAngeles,2019,21.55
LosAngeles,2020,9.81
Phoenix,1960,3.39
Phoenix,1961,4.43
Phoenix,1962,3.9
Phoenix,1963,7.24
Phoenix,1964,6.0
Phoenix,1965,11.19
Phoenix,1966,7.27
Phoenix,1967,8.34
Phoenix,1968,6.67
Phoenix,1969,6.94
Phoenix,1970,7.63
Phoenix,1971,3.59
Phoenix,1972,10.87
Phoenix,1973,6.01
Phoenix,1974,8.18
Phoenix,1975,4.51
Phoenix,1976,7.96
Phoenix,1977,3.16
Phoenix,1978,15.23
Phoenix,1979,6.8
Phoenix,1980,6.06
Phoenix,1981,6.72
Phoenix,1982,9.94
Phoenix,1983,12.81
Phoenix,1984,14.91
Phoenix,1985,7.92
Phoenix,1986,7.61
Phoenix,1987,8.4
Phoenix,1988,7.21
Phoenix,1989,4.94
Phoenix,1990,7.73
Phoenix,1991,8.35
Phoenix,1992,14.24
Phoenix,1993,13.34
Phoenix,1994,8.78
Phoenix,1995,9.51
Phoenix,1996,4.36
Phoenix,1997,4.67
Phoenix,1998,10.53
Phoenix,1999,6.61
Phoenix,2000,7.87
Phoenix,2001,6.72
Phoenix,2002,2.82
Phoenix,2003,6.82
Phoenix,2004,7.98
Phoenix,2005,7.04
Phoenix,2006,5.45
Phoenix,2007,5.05
Phoenix,2008,9.58
Phoenix,2009,3.26
Phoenix,2010,9.14
Phoenix,2011,4.66
Phoenix,2012,4.28
Phoenix,2013,8.42
Phoenix,2014,8.37
Phoenix,2015,7.15
Phoenix,2016,6.19
Phoenix,2017,4.96
Phoenix,2018,9.29
Phoenix,2019,5.93
Phoenix,2020,5.0
Pueblo,1960,12.54
Pueblo,1961,14.37
Pueblo,1962,8.4
Pueblo,1963,6.51
Pueblo,1964,8.29
Pueblo,1965,12.55
Pueblo,1966,6.27
Pueblo,1967,13.11
Pueblo,1968,10.92
Pueblo,1969,11.67
Pueblo,1970,9.28
Pueblo,1971,8.28
Pueblo,1972,11.93
Pueblo,1973,13.2
Pueblo,1974,9.68
Pueblo,1975,9.88
Pueblo,1976,11.13
Pueblo,1977,9.87
Pueblo,1978,8.41
Pueblo,1979,16.05
Pueblo,1980,11.59
Pueblo,1981,7.61
Pueblo,1982,15.45
Pueblo,1983,12.73
Pueblo,1984,16.12
Pueblo,1985,13.62
Pueblo,1986,10.77
Pueblo,1987,10.82
Pueblo,1988,11.38
Pueblo,1989,8.33
Pueblo,1990,17.9
Pueblo,1991,14.26
Pueblo,1992,12.55
Pueblo,1993,14.18
Pueblo,1994,15.41
Pueblo,1995,15.42
Pueblo,1996,13.03
Pueblo,1997,14.32
Pueblo,1998,11.96
Pueblo,1999,13.85
Pueblo,2000,12.28
Pueblo,2001,11.65
Pueblo,2002,3.94
Pueblo,2003,10.91
Pueblo,2004,14.06
Pueblo,2005,11.15
Pueblo,2006,13.86
Pueblo,2007,12.93
Pueblo,2008,10.39
Pueblo,2009,15.83
Pueblo,2010,11.6
Pueblo,2011,9.23
Pueblo,2012,5.0
Pueblo,2013,9.68
Pueblo,2014,11.83
Pueblo,2015,16.66
Pueblo,2016,11.91
Pueblo,2017,15.99
Pueblo,2018,7.72
Pueblo,2019,13.13
Pueblo,2020,5.33
Roswell,1960,13.57
Roswell,1961,7.85
Roswell,1962,11.81
Roswell,1963,6.3
Roswell,1964,6.98
Roswell,1965,6.68
Roswell,1966,9.68
Roswell,1967,11.06
Roswell,1968,15.84
Roswell,1969,13.33
Roswell,1970,8.63
Roswell,1971,10.04
Roswell,1972,16.5
Roswell,1973,11.6
Roswell,1974,18.65
Roswell,1975,9.59
Roswell,1976,11.55
Roswell,1977,10.95
Roswell,1978,18.25
Roswell,1979,8.53
Roswell,1980,13.2
Roswell,1981,24.33
Roswell,1982,9.05
Roswell,1983,10.03
Roswell,1984,18.75
Roswell,1985,14.54
Roswell,1986,24.8
Roswell,1987,16.2
Roswell,1988,13.76
Roswell,1989,6.08
Roswell,1990,7.49
Roswell,1991,21.06
Roswell,1992,13.27
Roswell,1993,10.35
Roswell,1994,10.75
Roswell,1995,8.45
Roswell,1996,14.17
Roswell,1997,18.58
Roswell,1998,11.75
Roswell,1999,14.2
Roswell,2000,8.19
Roswell,2001,8.67
Roswell,2002,12.84
Roswell,2003,2.9
Roswell,2004,16.48
Roswell,2005,10.61
Roswell,2006,11.48
Roswell,2007,12.53
Roswell,2008,12.09
Roswell,2009,8.56
Roswell,2010,15.18
Roswell,2011,5.56
Roswell,2012,6.2
Roswell,2013,9.45
Roswell,2014,17.99
Roswell,2015,18.0
Roswell,2016,10.64
Roswell,2017,11.16
Roswell,2018,9.69
Roswell,2019,11.33
Roswell,2020,6.18
Tucson,1960,8.74
Tucson,1961,10.89
Tucson,1962,8.58
Tucson,1963,9.97
Tucson,1964,17.99
Tucson,1965,11.53
Tucson,1966,14.41
Tucson,1967,12.93
Tucson,1968,8.94
Tucson,1969,9.94
Tucson,1970,11.98
Tucson,1971,12.17
Tucson,1972,14.86
Tucson,1973,7.22
Tucson,1974,11.92
Tucson,1975,6.64
Tucson,1976,6.28
Tucson,1977,10.17
Tucson,1978,15.73
Tucson,1979,10.39
Tucson,1980,12.23
Tucson,1981,13.7
Tucson,1982,13.79
Tucson,1983,21.86
Tucson,1984,15.53
Tucson,1985,12.88
Tucson,1986,11.8
Tucson,1987,12.5
Tucson,1988,11.63
Tucson,1989,6.48
Tucson,1990,14.95
Tucson,1991,10.78
Tucson,1992,16.42
Tucson,1993,14.99
Tucson,1994,11.63
Tucson,1995,11.18
Tucson,1996,10.5
Tucson,1997,10.56
Tucson,1998,13.62
Tucson,1999,9.68
Tucson,2000,12.43
Tucson,2001,7.81
Tucson,2002,7.83
Tucson,2003,10.05
Tucson,2004,7.6
Tucson,2005,9.57
Tucson,2006,11.81
Tucson,2007,9.78
Tucson,2008,8.62
Tucson,2009,5.67
Tucson,2010,11.13
Tucson,2011,12.23
Tucson,2012,7.91
Tucson,2013,8.53
Tucson,2014,10.19
Tucson,2015,13.42
Tucson,2016,11.81
Tucson,2017,10.77
Tucson,2018,13.44
Tucson,2019,13.62
Tucson,2020,4.17
